321 3.360589761852163e-06 	 1.0 	 0.01986800199967149 	 0.996484375
322 3.4106482365509073e-06 	 1.0 	 0.02025046942532782 	 0.99638671875
323 3.707296975365578e-06 	 1.0 	 0.0203724698360233 	 0.996484375
324 3.697814886721334e-06 	 1.0 	 0.020276430143935896 	 0.996484375
325 3.3562411090315436e-06 	 1.0 	 0.020352341021003896 	 0.996484375
326 4.1908773914423585e-06 	 1.0 	 0.019598051445014163 	 0.996484375
327 3.192894113275859e-06 	 1.0 	 0.02024991571375523 	 0.99638671875
328 3.70134534293061e-06 	 1.0 	 0.020058924513622855 	 0.9962890625
329 3.819007614849462e-06 	 1.0 	 0.01979627508172399 	 0.9962890625
330 3.342248121039015e-06 	 1.0 	 0.0204177356949387 	 0.9966796875
331 2.960158785713468e-06 	 1.0 	 0.02068234240781521 	 0.996484375
332 3.8332325491416114e-06 	 1.0 	 0.02040412292436571 	 0.996484375
333 3.234962158595918e-06 	 1.0 	 0.020141795701701427 	 0.9966796875
334 3.4840926453391445e-06 	 1.0 	 0.02015711644621092 	 0.99638671875
335 2.992904730008912e-06 	 1.0 	 0.020114436067257203 	 0.99658203125
336 3.256488525512814e-06 	 1.0 	 0.020402601389638165 	 0.99638671875
337 3.3685702199356753e-06 	 1.0 	 0.02004785314074269 	 0.99638671875
338 3.1527492353543633e-06 	 1.0 	 0.020222133454852555 	 0.9966796875
339 3.189203998440962e-06 	 1.0 	 0.02025477686073742 	 0.996484375
340 3.3996696233678176e-06 	 1.0 	 0.01954602700547241 	 0.9966796875
341 3.264847996468564e-06 	 1.0 	 0.01995484357585724 	 0.9966796875
342 3.423534073353158e-06 	 1.0 	 0.020197631286823992 	 0.996484375
343 3.5785035318317066e-06 	 1.0 	 0.01978969071893886 	 0.99658203125
344 2.990876497509086e-06 	 1.0 	 0.019709553581311923 	 0.996484375
345 3.0170851535149733e-06 	 1.0 	 0.02036968475858032 	 0.9962890625
346 3.156069330352949e-06 	 1.0 	 0.02046652607728987 	 0.99658203125
347 4.026337679740774e-06 	 1.0 	 0.019973001763050037 	 0.99638671875
348 3.283894661262937e-06 	 1.0 	 0.019679972202909825 	 0.99658203125
349 3.3859282537138437e-06 	 1.0 	 0.02018542618440051 	 0.99638671875
350 3.2428909618580605e-06 	 1.0 	 0.01975888171582483 	 0.99658203125
351 3.537612525449689e-06 	 1.0 	 0.020225182173558665 	 0.996484375
352 3.4226548224031903e-06 	 1.0 	 0.019263213610936702 	 0.99638671875
353 3.2091954008568013e-06 	 1.0 	 0.019633702489313974 	 0.99658203125
354 3.3480251726513232e-06 	 1.0 	 0.020263376730618177 	 0.996484375
355 3.419014992041667e-06 	 1.0 	 0.02005582897607212 	 0.99658203125
356 3.101241968742241e-06 	 1.0 	 0.019941181412748678 	 0.99658203125
357 3.0562344317485257e-06 	 1.0 	 0.020461034737007822 	 0.9962890625
358 3.1099756070685648e-06 	 1.0 	 0.020316447860014363 	 0.9966796875
359 3.250698975617336e-06 	 1.0 	 0.0210549783055086 	 0.99658203125
360 3.066143019762833e-06 	 1.0 	 0.020042159279410044 	 0.99677734375
361 3.117437761915998e-06 	 1.0 	 0.02068120882641864 	 0.996484375
362 3.835411813006175e-06 	 1.0 	 0.019977878942435724 	 0.99658203125
363 3.5836963146560745e-06 	 1.0 	 0.0198850173261917 	 0.996484375
364 2.890204576508966e-06 	 1.0 	 0.019941860775001884 	 0.9962890625
365 3.3732474296072453e-06 	 1.0 	 0.02002792780749587 	 0.996484375
366 3.101812242418774e-06 	 1.0 	 0.02010527173523542 	 0.996484375
367 3.5225629917383866e-06 	 1.0 	 0.020377369872728934 	 0.996484375
368 3.394831912886674e-06 	 1.0 	 0.019763297533117452 	 0.996484375
369 3.1045157168735903e-06 	 1.0 	 0.019784559161725213 	 0.9966796875
370 3.1017054728872236e-06 	 1.0 	 0.020329326759721766 	 0.9966796875
371 2.960905525931296e-06 	 1.0 	 0.0200892790711066 	 0.99658203125
372 2.955325707171374e-06 	 1.0 	 0.020397639689736024 	 0.99638671875
373 3.34558726890487e-06 	 1.0 	 0.020318581473685527 	 0.99658203125
374 3.398294835625233e-06 	 1.0 	 0.020095979089090575 	 0.996484375
375 3.1354752580185925e-06 	 1.0 	 0.020343836227121416 	 0.99658203125
376 3.0719694008500026e-06 	 1.0 	 0.020209984804679948 	 0.9966796875
377 2.9478304121746063e-06 	 1.0 	 0.020811523601062733 	 0.99658203125
378 3.7147941507019355e-06 	 1.0 	 0.020383334128624142 	 0.996484375
379 3.151007530757391e-06 	 1.0 	 0.020439923189596244 	 0.99619140625
380 3.083854590821157e-06 	 1.0 	 0.02026162750062781 	 0.9966796875
381 3.0684663159826347e-06 	 1.0 	 0.02012557196985938 	 0.996484375
382 3.2224573032509046e-06 	 1.0 	 0.020430912047217475 	 0.9966796875
383 3.1937546056068434e-06 	 1.0 	 0.020031308213893338 	 0.9966796875
384 3.313639399668151e-06 	 1.0 	 0.020360554987121304 	 0.9966796875
385 3.1171213545825862e-06 	 1.0 	 0.020452447779044293 	 0.99658203125
386 2.8991610638618196e-06 	 1.0 	 0.01979140846255518 	 0.99658203125
387 3.436243582597e-06 	 1.0 	 0.020154112860458893 	 0.99658203125
388 2.970201476511782e-06 	 1.0 	 0.020398079180479554 	 0.99638671875
389 3.076953688265311e-06 	 1.0 	 0.02013732027787114 	 0.996484375
390 2.957846490076322e-06 	 1.0 	 0.020007772819438684 	 0.996484375
391 2.7912165263612046e-06 	 1.0 	 0.02047704653985676 	 0.9962890625
392 2.881696028962417e-06 	 1.0 	 0.019615106214478574 	 0.9962890625
393 2.9038809068244327e-06 	 1.0 	 0.020785733808412487 	 0.99658203125
394 2.9952415519094307e-06 	 1.0 	 0.02011749506145293 	 0.996484375
395 2.811604975696399e-06 	 1.0 	 0.020159001966295876 	 0.996484375
396 3.3423906097537895e-06 	 1.0 	 0.02065583139977889 	 0.99638671875
397 3.3236158020265386e-06 	 1.0 	 0.02031259900694806 	 0.99658203125
398 3.0213902558447293e-06 	 1.0 	 0.02019833510330784 	 0.99658203125
399 2.8850213727456435e-06 	 1.0 	 0.019700379470175732 	 0.99638671875
400 2.836961012548263e-06 	 1.0 	 0.020358124691479417 	 0.996484375
401 3.0226306091924675e-06 	 1.0 	 0.020016559044555036 	 0.99677734375
402 3.133886650194163e-06 	 1.0 	 0.019924389338692096 	 0.99658203125
403 3.1448874847926404e-06 	 1.0 	 0.019847050277765278 	 0.9966796875
404 2.8395368714924223e-06 	 1.0 	 0.020337892585150997 	 0.99658203125
405 3.0408642382054864e-06 	 1.0 	 0.02078284928530678 	 0.9962890625
406 2.676764456283562e-06 	 1.0 	 0.02082359618463272 	 0.996484375
407 2.9237301745247945e-06 	 1.0 	 0.02055989368061404 	 0.99638671875
408 3.0051146947810376e-06 	 1.0 	 0.020467511162676998 	 0.99658203125
409 3.055777186921699e-06 	 1.0 	 0.02078119537840024 	 0.99658203125
410 3.0616493052994927e-06 	 1.0 	 0.019541821728724075 	 0.99638671875
411 3.0898332205363534e-06 	 1.0 	 0.021223926007635896 	 0.9962890625
412 2.817911784275617e-06 	 1.0 	 0.020175326998389663 	 0.9962890625
413 2.7863314251873835e-06 	 1.0 	 0.020525952482964273 	 0.9966796875
414 3.096150923134989e-06 	 1.0 	 0.020140134168474332 	 0.996484375
415 2.8527997150739773e-06 	 1.0 	 0.020152046646104795 	 0.9966796875
416 2.931528789057575e-06 	 1.0 	 0.020242913396516828 	 0.996484375
417 3.0270618223541457e-06 	 1.0 	 0.019620630444066478 	 0.99658203125
418 2.9959082294075195e-06 	 1.0 	 0.02045494706459152 	 0.99638671875
419 2.9334539744701974e-06 	 1.0 	 0.020230382553155835 	 0.9966796875
420 2.993059929697193e-06 	 1.0 	 0.02056312394373947 	 0.99638671875
421 2.757660512028e-06 	 1.0 	 0.020601957998137264 	 0.99658203125
422 2.615582720945453e-06 	 1.0 	 0.020502575512851708 	 0.9966796875
423 2.9875130482820807e-06 	 1.0 	 0.019751180097976828 	 0.99658203125
424 3.1355951954516953e-06 	 1.0 	 0.020164216433664707 	 0.996484375
425 3.1386805492280833e-06 	 1.0 	 0.02038576481628951 	 0.99677734375
426 2.81264703826449e-06 	 1.0 	 0.020057817464778794 	 0.99638671875
427 3.2577135948137193e-06 	 1.0 	 0.02044606661562227 	 0.996484375
428 2.7879340790060754e-06 	 1.0 	 0.020954595958127698 	 0.996484375
429 3.5684490617976645e-06 	 1.0 	 0.020539170127202057 	 0.996484375
430 3.001903849780531e-06 	 1.0 	 0.02017369423432882 	 0.99638671875
431 3.088493731975363e-06 	 1.0 	 0.019557784796690215 	 0.9966796875
432 3.0931285137772472e-06 	 1.0 	 0.02039265819589815 	 0.99658203125
433 2.792275213230549e-06 	 1.0 	 0.019831049747008934 	 0.99658203125
434 2.936376371685013e-06 	 1.0 	 0.020077045546690896 	 0.9966796875
435 2.493655273892239e-06 	 1.0 	 0.02091939247815162 	 0.99638671875
436 2.627092109479466e-06 	 1.0 	 0.020562181684437065 	 0.99677734375
437 2.7155576152954777e-06 	 1.0 	 0.020023440569227093 	 0.99638671875
438 2.5097242963561243e-06 	 1.0 	 0.01968446517932563 	 0.996484375
439 2.8424438578894043e-06 	 1.0 	 0.020164583584306683 	 0.99638671875
440 2.7216276867361358e-06 	 1.0 	 0.019895495663024575 	 0.99658203125
441 2.6808522363372013e-06 	 1.0 	 0.020073568583411826 	 0.99658203125
442 3.205508735734145e-06 	 1.0 	 0.020092774300145777 	 0.99658203125
443 2.758697956758861e-06 	 1.0 	 0.02075763742918042 	 0.99658203125
444 3.189113018150312e-06 	 1.0 	 0.020607654664574683 	 0.996484375
445 2.8430433224787675e-06 	 1.0 	 0.02030207320027131 	 0.99658203125
446 2.7658869837761947e-06 	 1.0 	 0.020288493042687605 	 0.99658203125
447 2.9048239695276674e-06 	 1.0 	 0.02048360329172283 	 0.996484375
448 2.825709166425631e-06 	 1.0 	 0.02024438804187696 	 0.9966796875
449 2.529584637328936e-06 	 1.0 	 0.020367731518045672 	 0.99658203125
450 2.8321812381589628e-06 	 1.0 	 0.020041186594276894 	 0.996484375
451 2.7074604213281476e-06 	 1.0 	 0.019975101136483885 	 0.99658203125
452 2.748803730503281e-06 	 1.0 	 0.019672703365738186 	 0.996484375
453 2.8454162886524255e-06 	 1.0 	 0.02084249076446838 	 0.99658203125
454 2.7831556280071636e-06 	 1.0 	 0.019944748503890254 	 0.9966796875
455 2.680006220469439e-06 	 1.0 	 0.020083574661792624 	 0.9966796875
456 6.527785952733832e-06 	 1.0 	 0.020637726860741168 	 0.99658203125
457 3.613946780526877e-06 	 1.0 	 0.020305299286766852 	 0.996484375
458 0.006875174062730986 	 0.9978620524296675 	 0.03161997913979349 	 0.99248046875
459 0.008727255653954841 	 0.9972226662404092 	 0.02381621050818694 	 0.9939453125
460 0.0032693480905045666 	 0.9989010549872123 	 0.02275236166444188 	 0.9955078125
461 0.0008833643897906835 	 0.9998001918158568 	 0.022578838672933442 	 0.99560546875
462 0.0013111300654611831 	 0.9996403452685422 	 0.023140054916771645 	 0.99580078125
463 0.0006479691815641968 	 0.9998201726342711 	 0.019077836587692333 	 0.99619140625
464 0.0004394703684733836 	 0.999940057544757 	 0.021086085663512222 	 0.9958984375
465 0.00017028178124355993 	 0.9999600383631714 	 0.020002014702242832 	 0.9962890625
466 0.00017379693477531782 	 0.9999800191815856 	 0.018885627297967743 	 0.99580078125
467 7.675892362743854e-05 	 1.0 	 0.018253152388624017 	 0.99638671875
468 5.89310483463686e-05 	 1.0 	 0.018308195019656637 	 0.996484375
469 4.260582109124449e-05 	 1.0 	 0.018436588063894987 	 0.99638671875
470 3.5925989364873934e-05 	 1.0 	 0.01932957453076938 	 0.99599609375
471 3.058115112369594e-05 	 1.0 	 0.018895364733214137 	 0.996484375
472 2.9839091065582287e-05 	 1.0 	 0.018784977332302333 	 0.99658203125
473 2.7299064718170815e-05 	 1.0 	 0.01883935868449669 	 0.99658203125
474 2.6840226870667733e-05 	 1.0 	 0.019470681543140245 	 0.99619140625
475 2.315901498636346e-05 	 1.0 	 0.01920469488817389 	 0.9966796875
476 2.3288548279413456e-05 	 1.0 	 0.019727751258264446 	 0.996484375
477 2.337942205392845e-05 	 1.0 	 0.018923211929173078 	 0.996484375
478 2.0679835464496538e-05 	 1.0 	 0.01934908335346961 	 0.996484375
479 2.1348128749414544e-05 	 1.0 	 0.019586800079271428 	 0.99638671875
480 2.192860386776723e-05 	 1.0 	 0.018581090026893322 	 0.996484375
481 1.8632124939449334e-05 	 1.0 	 0.019115995429872613 	 0.99638671875
482 1.695625241552389e-05 	 1.0 	 0.019889250430300365 	 0.99619140625
483 1.747356028495826e-05 	 1.0 	 0.0197994608279501 	 0.9962890625
484 1.7710206421711204e-05 	 1.0 	 0.01976791950789334 	 0.99638671875
485 1.7440875301958504e-05 	 1.0 	 0.020066652867008372 	 0.99619140625
486 1.6137920279292853e-05 	 1.0 	 0.020135239315568754 	 0.9962890625
487 1.631718183766086e-05 	 1.0 	 0.02040909565296829 	 0.99638671875
488 1.4710022836963682e-05 	 1.0 	 0.019684598788830953 	 0.99638671875
489 1.2834866861793418e-05 	 1.0 	 0.019848244584706264 	 0.996484375
490 1.7465397483363613e-05 	 1.0 	 0.019126288608663344 	 0.9962890625
491 1.5201602965632733e-05 	 1.0 	 0.020259836479864644 	 0.9962890625
492 1.4958196054364968e-05 	 1.0 	 0.019708070995960725 	 0.996484375
493 1.4035670871968003e-05 	 1.0 	 0.019363565668896854 	 0.9966796875
494 1.2144764228590705e-05 	 1.0 	 0.019238606264411828 	 0.996484375
495 1.536492371790135e-05 	 1.0 	 0.020093238307225647 	 0.9966796875
496 1.3038041983296804e-05 	 1.0 	 0.019568490755436586 	 0.996484375
497 1.2532458918019268e-05 	 1.0 	 0.01968927418179476 	 0.99619140625
498 1.1319723027328944e-05 	 1.0 	 0.01938165841010857 	 0.99658203125
499 1.5343317627726054e-05 	 1.0 	 0.020216714923600422 	 0.99609375
500 1.4888633410833218e-05 	 1.0 	 0.020172312477546937 	 0.99638671875
501 1.3381789930605019e-05 	 1.0 	 0.020334445110145795 	 0.99599609375
502 1.0928453018277186e-05 	 1.0 	 0.01989542014202499 	 0.9962890625
503 1.0106052538371133e-05 	 1.0 	 0.019939327293667475 	 0.996484375
504 1.1067128918135201e-05 	 1.0 	 0.019913406670983135 	 0.99658203125
505 1.0929959507278364e-05 	 1.0 	 0.02032258071089501 	 0.9962890625
506 9.767969360785841e-06 	 1.0 	 0.0198859771759885 	 0.99638671875
507 1.086141059154227e-05 	 1.0 	 0.019713753843463168 	 0.996484375
508 1.071164872061842e-05 	 1.0 	 0.020392754865935104 	 0.9962890625
509 9.965500313435424e-06 	 1.0 	 0.020152875820241434 	 0.996484375
510 9.219581184400472e-06 	 1.0 	 0.019491227839040448 	 0.9962890625
511 8.92143665986602e-06 	 1.0 	 0.019640762672723612 	 0.996484375
512 9.672466660068003e-06 	 1.0 	 0.019689097185737126 	 0.99599609375
513 1.1516315270085533e-05 	 1.0 	 0.01961288255317726 	 0.99638671875
514 1.108983264484289e-05 	 1.0 	 0.019674059800149735 	 0.9966796875
515 9.251305838980999e-06 	 1.0 	 0.020816422701366834 	 0.9962890625
516 8.816499756359493e-06 	 1.0 	 0.019734309664828233 	 0.99638671875
517 1.0612269360084462e-05 	 1.0 	 0.02037517449190318 	 0.9962890625
518 8.601719594985286e-06 	 1.0 	 0.020346486258661402 	 0.9962890625
519 8.180285959651953e-06 	 1.0 	 0.0199130795880194 	 0.99638671875
520 9.563469602409403e-06 	 1.0 	 0.019910834485442307 	 0.99658203125
521 8.620299806173598e-06 	 1.0 	 0.01974779457446658 	 0.99638671875
522 8.514955227191424e-06 	 1.0 	 0.019709760155387814 	 0.99638671875
523 8.277056363834016e-06 	 1.0 	 0.019418170362762766 	 0.99658203125
524 9.821642757961316e-06 	 1.0 	 0.020696627994946936 	 0.99658203125
525 7.477197808097247e-06 	 1.0 	 0.020444731062589483 	 0.99658203125
526 7.683933160857923e-06 	 1.0 	 0.01991050956158489 	 0.9966796875
527 9.146855745711946e-06 	 1.0 	 0.01969157140192266 	 0.99638671875
528 8.383713937110325e-06 	 1.0 	 0.01974836131929436 	 0.99658203125
529 7.535641867560214e-06 	 1.0 	 0.01955439947255542 	 0.99638671875
530 7.90148371432973e-06 	 1.0 	 0.019604368885762825 	 0.996484375
531 8.443644366493305e-06 	 1.0 	 0.01950392528425482 	 0.9962890625
532 8.49234309296783e-06 	 1.0 	 0.020473161553861984 	 0.99638671875
533 7.374363126578e-06 	 1.0 	 0.02049647788804663 	 0.99638671875
534 7.474380782589244e-06 	 1.0 	 0.020044578421229177 	 0.996484375
535 7.148673443379082e-06 	 1.0 	 0.019633301152315142 	 0.996484375
536 7.174891711592561e-06 	 1.0 	 0.020252675567660104 	 0.99638671875
537 7.26242204881696e-06 	 1.0 	 0.019983240630453737 	 0.996484375
538 6.9818511562802615e-06 	 1.0 	 0.020081267153977934 	 0.996484375
539 8.26988381472069e-06 	 1.0 	 0.019656182096255748 	 0.99638671875
540 7.76561010750304e-06 	 1.0 	 0.021238056455599973 	 0.99638671875
541 6.777493741965907e-06 	 1.0 	 0.020831258003536846 	 0.996484375
542 8.1073156015709e-06 	 1.0 	 0.020757695176556012 	 0.99638671875
543 6.096822698499173e-06 	 1.0 	 0.020228903915948847 	 0.99658203125
544 7.142167184618004e-06 	 1.0 	 0.02034621169976276 	 0.996484375
545 6.7382879674799505e-06 	 1.0 	 0.020404423442164442 	 0.99638671875
546 6.589126379923303e-06 	 1.0 	 0.020403454901747865 	 0.99638671875
547 7.1122237169683055e-06 	 1.0 	 0.02053972913114137 	 0.99638671875
548 7.227086710737726e-06 	 1.0 	 0.020325301243136095 	 0.9962890625
549 6.448627616004964e-06 	 1.0 	 0.020611152860887216 	 0.996484375
550 6.9844804571970634e-06 	 1.0 	 0.020234767204337346 	 0.99638671875
551 6.375727978405955e-06 	 1.0 	 0.02033750231775855 	 0.99638671875
552 6.320957219901649e-06 	 1.0 	 0.020419830855296795 	 0.996484375
553 5.229817129079691e-06 	 1.0 	 0.020635814866500367 	 0.99658203125
554 5.876463900010334e-06 	 1.0 	 0.020501179562538142 	 0.99638671875
555 5.8572755327139975e-06 	 1.0 	 0.020750352228520796 	 0.99658203125
556 5.7720538803339205e-06 	 1.0 	 0.019793852278898072 	 0.996484375
557 7.708255694801071e-06 	 1.0 	 0.020508633264199005 	 0.99658203125
558 6.500793996887496e-06 	 1.0 	 0.020051223634517612 	 0.99658203125
559 5.5939096340263435e-06 	 1.0 	 0.020493709344386702 	 0.99658203125
560 7.088292720639651e-06 	 1.0 	 0.020684376869824918 	 0.99638671875
561 7.688263371114783e-06 	 1.0 	 0.020936471307243208 	 0.9962890625
562 6.10080554400242e-06 	 1.0 	 0.020896404063273623 	 0.99638671875
563 5.788770914283709e-06 	 1.0 	 0.02055824990884929 	 0.99658203125
564 5.571344531262466e-06 	 1.0 	 0.021225988913771233 	 0.99638671875
565 5.817098186006104e-06 	 1.0 	 0.020450695807591047 	 0.99658203125
566 5.319536621068914e-06 	 1.0 	 0.019902821994166688 	 0.996484375
567 5.886578728305533e-06 	 1.0 	 0.020437648906469975 	 0.9966796875
568 5.810704331980162e-06 	 1.0 	 0.020193144740726154 	 0.99638671875
569 6.060983416325755e-06 	 1.0 	 0.0201930663024811 	 0.996484375
570 6.554201521110446e-06 	 1.0 	 0.020791476410223452 	 0.9966796875
571 5.4894138334148615e-06 	 1.0 	 0.02026107667992818 	 0.99658203125
572 5.295728987316451e-06 	 1.0 	 0.021021082392384472 	 0.9962890625
573 5.312493360639922e-06 	 1.0 	 0.020149214644710867 	 0.9962890625
574 5.621990183503945e-06 	 1.0 	 0.0205738898214463 	 0.9962890625
575 5.870210912844483e-06 	 1.0 	 0.020325542505891293 	 0.996484375
576 5.429107893935434e-06 	 1.0 	 0.020306671215534776 	 0.99619140625
577 4.7366432958686184e-06 	 1.0 	 0.020539701444587877 	 0.9962890625
578 5.995895177649725e-06 	 1.0 	 0.020970539558173584 	 0.99619140625
579 5.230711035745912e-06 	 1.0 	 0.020874544707338315 	 0.996484375
580 4.849828548716003e-06 	 1.0 	 0.019999618667741005 	 0.996484375
581 4.815703676121933e-06 	 1.0 	 0.02083059331730581 	 0.996484375
582 5.436347447337776e-06 	 1.0 	 0.020586367419299735 	 0.9962890625
583 4.7606512651646324e-06 	 1.0 	 0.020744729223770263 	 0.996484375
584 4.880259693356279e-06 	 1.0 	 0.020311456908760305 	 0.9962890625
585 4.848161687566186e-06 	 1.0 	 0.02125984124185436 	 0.9962890625
586 6.642371740630333e-06 	 1.0 	 0.020903585937359283 	 0.9962890625
587 7.587442797596122e-06 	 1.0 	 0.02072056420287538 	 0.9962890625
588 4.5193689102594745e-06 	 1.0 	 0.020505676000850313 	 0.996484375
589 5.546970360379637e-06 	 1.0 	 0.020657008614914218 	 0.99638671875
590 8.446772091586718e-06 	 1.0 	 0.02061103868472287 	 0.99658203125
591 4.931217369881974e-06 	 1.0 	 0.021443159987794048 	 0.9962890625
592 5.028001546308536e-06 	 1.0 	 0.02095109840092988 	 0.99658203125
593 4.9528414967212215e-06 	 1.0 	 0.02108998910093547 	 0.996484375
594 5.382441637048823e-06 	 1.0 	 0.02080137871826011 	 0.9962890625
595 5.5888063231794015e-06 	 1.0 	 0.02077894457553242 	 0.9962890625
596 5.65678469105306e-06 	 1.0 	 0.020885003254641533 	 0.99638671875
597 4.7787288043301535e-06 	 1.0 	 0.02087340969783469 	 0.99638671875
598 5.151077637485584e-06 	 1.0 	 0.021129513744708107 	 0.99619140625
599 5.16309555640364e-06 	 1.0 	 0.020218321169299714 	 0.9962890625
600 5.118490623173268e-06 	 1.0 	 0.021296278383137236 	 0.9962890625
601 5.047078723952331e-06 	 1.0 	 0.020853713522844687 	 0.9962890625
602 4.91027812133832e-06 	 1.0 	 0.02062910660444004 	 0.996484375
603 5.276156010906022e-06 	 1.0 	 0.0206906796779478 	 0.99638671875
604 4.839904311025199e-06 	 1.0 	 0.020497199144110568 	 0.99638671875
605 4.3244082568024705e-06 	 1.0 	 0.02152700162754755 	 0.99609375
606 4.744379031694327e-06 	 1.0 	 0.020546601185703395 	 0.99619140625
607 4.89174104529139e-06 	 1.0 	 0.020384210995982244 	 0.996484375
608 4.73174702212809e-06 	 1.0 	 0.021090814598448304 	 0.99638671875
609 5.182346241532598e-06 	 1.0 	 0.021058271862554535 	 0.9962890625
610 4.977476678627018e-06 	 1.0 	 0.02080697370003861 	 0.99619140625
611 4.611506966730094e-06 	 1.0 	 0.021459171003093757 	 0.996484375
612 4.759065937830603e-06 	 1.0 	 0.02059713356366899 	 0.996484375
613 4.325511621581382e-06 	 1.0 	 0.020905849079126425 	 0.996484375
614 3.933541881383055e-06 	 1.0 	 0.020497497310559255 	 0.99638671875
615 5.461417347067119e-06 	 1.0 	 0.020488962062012207 	 0.996484375
616 4.099569833022291e-06 	 1.0 	 0.020860847823488626 	 0.996484375
617 3.806322729418697e-06 	 1.0 	 0.02068125842295032 	 0.99658203125
618 4.299723801247574e-06 	 1.0 	 0.020888609244074985 	 0.996484375
619 4.147941899558729e-06 	 1.0 	 0.020667338936803503 	 0.996484375
620 4.0519010703357935e-06 	 1.0 	 0.020331511594159225 	 0.99658203125
621 5.03528021656045e-06 	 1.0 	 0.021013897952413173 	 0.996484375
622 3.570053980484956e-06 	 1.0 	 0.020933191482618695 	 0.9966796875
623 4.32244246817937e-06 	 1.0 	 0.020573331075824798 	 0.99638671875
624 3.914561043448417e-06 	 1.0 	 0.020676127893840147 	 0.99638671875
625 4.125021202393527e-06 	 1.0 	 0.02112420754391877 	 0.9962890625
626 4.744516933828483e-06 	 1.0 	 0.0207446686874043 	 0.99658203125
627 4.184539457384135e-06 	 1.0 	 0.020845929931655148 	 0.996484375
628 4.65135668687102e-06 	 1.0 	 0.02076504260273282 	 0.99638671875
629 3.7706820142461426e-06 	 1.0 	 0.02145544703983404 	 0.99638671875
630 4.215142836129763e-06 	 1.0 	 0.020503726248784916 	 0.9962890625
631 3.9916370622547596e-06 	 1.0 	 0.020281089211628966 	 0.9962890625
632 4.347950991936405e-06 	 1.0 	 0.020932039760233324 	 0.99619140625
633 4.374563265728261e-06 	 1.0 	 0.020909153749907716 	 0.9962890625
634 4.17974727470163e-06 	 1.0 	 0.021069738707441842 	 0.996484375
635 3.8723499824125775e-06 	 1.0 	 0.020472020710119665 	 0.99658203125
636 4.1818608656634415e-06 	 1.0 	 0.020806605765396568 	 0.996484375
637 4.1633545842115755e-06 	 1.0 	 0.020122357780186208 	 0.99638671875
638 3.7700732370765188e-06 	 1.0 	 0.02016610331239903 	 0.99658203125
639 3.7948373352041448e-06 	 1.0 	 0.02122864807499809 	 0.9962890625
640 3.826999298999371e-06 	 1.0 	 0.020524389995988202 	 0.99638671875
641 3.718726357587132e-06 	 1.0 	 0.021393318081743475 	 0.99619140625
642 4.325225492454739e-06 	 1.0 	 0.020633978926360895 	 0.996484375
643 4.03141254968818e-06 	 1.0 	 0.020182243317811554 	 0.996484375
644 3.7893233322551088e-06 	 1.0 	 0.020705342194152366 	 0.99638671875
645 4.057946351358368e-06 	 1.0 	 0.02122772141720759 	 0.99599609375
646 3.947459511139308e-06 	 1.0 	 0.020550421637783957 	 0.99658203125
647 4.2200566903330956e-06 	 1.0 	 0.020219431170517766 	 0.996484375
648 4.226686799709643e-06 	 1.0 	 0.020865600239049088 	 0.996484375
649 4.1495645849400765e-06 	 1.0 	 0.02121708914216782 	 0.9962890625
650 3.3542136133154695e-06 	 1.0 	 0.020602666709647367 	 0.996484375
651 3.737938023270842e-06 	 1.0 	 0.02096874022624675 	 0.9966796875
652 3.426650413480286e-06 	 1.0 	 0.02056181190634021 	 0.996484375
653 3.882900437880645e-06 	 1.0 	 0.02053475742689841 	 0.996484375
654 3.72079221461506e-06 	 1.0 	 0.02138289962614053 	 0.99658203125
655 3.684453563588468e-06 	 1.0 	 0.021131882696839455 	 0.996484375
656 4.301407000446237e-06 	 1.0 	 0.02138949406478403 	 0.99658203125
657 3.7879565712103302e-06 	 1.0 	 0.02060110946463851 	 0.996484375
658 3.8200372385946345e-06 	 1.0 	 0.02023512165092427 	 0.99658203125
659 4.294253758469081e-06 	 1.0 	 0.020057094416243613 	 0.996484375
660 5.1499358292553515e-06 	 1.0 	 0.020901216521766484 	 0.9962890625
661 4.1466876838311485e-06 	 1.0 	 0.021191259546957043 	 0.9966796875
662 3.447398063066723e-06 	 1.0 	 0.02048801089587684 	 0.9962890625
663 3.504810018899508e-06 	 1.0 	 0.020646102529884303 	 0.996484375
664 4.139424067054041e-06 	 1.0 	 0.020745522635561998 	 0.996484375
665 3.306652547536914e-06 	 1.0 	 0.021551132367998348 	 0.99658203125
666 3.4632097485405853e-06 	 1.0 	 0.020760781144576156 	 0.99638671875
667 3.7292894126679424e-06 	 1.0 	 0.021509101924387153 	 0.99658203125
668 3.4510023015975414e-06 	 1.0 	 0.021020862170511377 	 0.99638671875
669 3.5599500289090034e-06 	 1.0 	 0.021151194605560874 	 0.99658203125
670 3.500000224061449e-06 	 1.0 	 0.02098306680492499 	 0.99638671875
671 3.3905647040372577e-06 	 1.0 	 0.020908719423177048 	 0.99619140625
672 3.525141729125696e-06 	 1.0 	 0.021055936816988207 	 0.9962890625
673 3.5802405998374827e-06 	 1.0 	 0.021773696117068652 	 0.9966796875
674 3.1563426662212392e-06 	 1.0 	 0.021213345166570717 	 0.9966796875
675 4.366738262328827e-06 	 1.0 	 0.020885175195675742 	 0.99677734375
676 3.3673354757685765e-06 	 1.0 	 0.02099464695047786 	 0.99658203125
677 3.839684418927412e-06 	 1.0 	 0.021489915648623282 	 0.996484375
