2492 6.441196044515606e-07 	 1.0 	 0.02436541415600526 	 0.9969049520766773
2493 6.96502358592852e-07 	 1.0 	 0.024933854318120036 	 0.9965055910543131
2494 7.068603482672131e-07 	 1.0 	 0.02458660935882787 	 0.9966054313099042
2495 6.759960376942331e-07 	 1.0 	 0.024828521704751833 	 0.9966054313099042
2496 7.027382235459356e-07 	 1.0 	 0.024659570714762394 	 0.9968051118210862
2497 6.340215352334156e-07 	 1.0 	 0.024394837791699646 	 0.9965055910543131
2498 6.673334376571916e-07 	 1.0 	 0.024281132350229287 	 0.9967052715654952
2499 6.884915791012247e-07 	 1.0 	 0.024284954326764266 	 0.9966054313099042
2500 6.577056758364108e-07 	 1.0 	 0.024710224680739083 	 0.996305910543131
2501 7.310441238445264e-07 	 1.0 	 0.024779312436397152 	 0.9967052715654952
2502 1.2168695802364481e-06 	 1.0 	 0.024048098916503686 	 0.9965055910543131
2503 8.043018209268382e-07 	 1.0 	 0.02424763981707465 	 0.9964057507987221
2504 6.651045137527944e-07 	 1.0 	 0.024676144670342834 	 0.9964057507987221
2505 6.325227917166388e-07 	 1.0 	 0.024520440633254027 	 0.9969049520766773
2506 6.156949452775962e-07 	 1.0 	 0.024425773348148907 	 0.9966054313099042
2507 6.686116335448844e-07 	 1.0 	 0.02459992107586787 	 0.9967052715654952
2508 6.479525353995541e-07 	 1.0 	 0.024735719076416165 	 0.9967052715654952
2509 8.000217461786008e-07 	 1.0 	 0.024928726437658283 	 0.996305910543131
2510 6.08178645518933e-07 	 1.0 	 0.02559453042056199 	 0.996305910543131
2511 5.831272811893484e-07 	 1.0 	 0.02533255138346387 	 0.9965055910543131
2512 7.333498093663593e-07 	 1.0 	 0.024820685064586255 	 0.9968051118210862
2513 5.644095017768791e-07 	 1.0 	 0.02423859888940193 	 0.9966054313099042
2514 7.794349514584554e-07 	 1.0 	 0.024868104606919406 	 0.9967052715654952
2515 6.218609729855018e-07 	 1.0 	 0.024167554060811215 	 0.9968051118210862
2516 7.003118608930947e-07 	 1.0 	 0.02416217891869881 	 0.996305910543131
2517 6.431510067355362e-07 	 1.0 	 0.02472227458494831 	 0.9964057507987221
2518 6.688025622862881e-07 	 1.0 	 0.024149643601749152 	 0.9967052715654952
2519 6.50109424232852e-07 	 1.0 	 0.024529924296733643 	 0.9967052715654952
2520 6.187962849014639e-07 	 1.0 	 0.02509912795008283 	 0.996305910543131
2521 1.0306594546264592e-06 	 1.0 	 0.024689736349622217 	 0.9966054313099042
2522 6.800447756309325e-07 	 1.0 	 0.024464020829246286 	 0.9967052715654952
2523 6.721319654468516e-07 	 1.0 	 0.024199320140409892 	 0.9965055910543131
2524 7.454994980203367e-07 	 1.0 	 0.024928977612206867 	 0.9967052715654952
2525 6.394796144203951e-07 	 1.0 	 0.024574107084062324 	 0.9965055910543131
2526 7.165496182433629e-07 	 1.0 	 0.02420570454066381 	 0.9970047923322684
2527 6.045891970983064e-07 	 1.0 	 0.02423703541617918 	 0.9968051118210862
2528 7.013556168585922e-07 	 1.0 	 0.024088928211792964 	 0.9968051118210862
2529 6.524903896112733e-07 	 1.0 	 0.024420746198811065 	 0.9965055910543131
2530 6.805541623346301e-07 	 1.0 	 0.02434396551370404 	 0.9967052715654952
2531 6.628615888767797e-07 	 1.0 	 0.024479081288710822 	 0.9967052715654952
2532 1.1583442536003474e-06 	 1.0 	 0.02494636246742641 	 0.996305910543131
2533 7.572154783508722e-07 	 1.0 	 0.024978049062957308 	 0.9965055910543131
2534 6.34174234122753e-07 	 1.0 	 0.02495848377053897 	 0.9966054313099042
2535 6.065412770604439e-07 	 1.0 	 0.025394205391530804 	 0.9964057507987221
2536 7.120893112242755e-07 	 1.0 	 0.024321972709576235 	 0.9967052715654952
2537 6.526099544625197e-07 	 1.0 	 0.024605966562599235 	 0.9965055910543131
2538 1.1635166204503377e-06 	 1.0 	 0.024839355224435315 	 0.9965055910543131
2539 7.58531794259767e-07 	 1.0 	 0.024606180931232118 	 0.9967052715654952
2540 6.542785103032145e-07 	 1.0 	 0.025120458052516413 	 0.9964057507987221
2541 7.105692185611189e-07 	 1.0 	 0.024036551869934347 	 0.9969049520766773
2542 6.30885300332551e-07 	 1.0 	 0.024314116819862876 	 0.996305910543131
2543 7.130989475375315e-07 	 1.0 	 0.024700990677796374 	 0.9965055910543131
2544 8.029183043291254e-07 	 1.0 	 0.024445287299294977 	 0.9965055910543131
2545 7.467121865535375e-07 	 1.0 	 0.02480261110552252 	 0.9966054313099042
2546 6.285312275498711e-07 	 1.0 	 0.024400944559209315 	 0.9968051118210862
2547 6.869235154780995e-07 	 1.0 	 0.024318770126954613 	 0.9966054313099042
2548 6.980185806031613e-07 	 1.0 	 0.025322986556574244 	 0.9968051118210862
2549 6.241336467223846e-07 	 1.0 	 0.025079935340329696 	 0.9965055910543131
2550 6.081744900184561e-07 	 1.0 	 0.024540378501637965 	 0.9970047923322684
2551 6.359025168792698e-07 	 1.0 	 0.024728465446971992 	 0.9969049520766773
2552 6.132593736047909e-07 	 1.0 	 0.024276318987262416 	 0.9967052715654952
2553 7.278574428632112e-07 	 1.0 	 0.024720514316398105 	 0.9965055910543131
2554 6.825874641634754e-07 	 1.0 	 0.024864503897456862 	 0.9966054313099042
2555 6.367042458394678e-07 	 1.0 	 0.02468288927248936 	 0.9965055910543131
2556 6.928384146213773e-07 	 1.0 	 0.024541262082643026 	 0.9968051118210862
2557 6.354697996559366e-07 	 1.0 	 0.024675719585482224 	 0.9967052715654952
2558 6.508323216579015e-07 	 1.0 	 0.024466579589351656 	 0.9966054313099042
2559 7.177832442430088e-07 	 1.0 	 0.024782944364410194 	 0.9966054313099042
2560 6.661042618152635e-07 	 1.0 	 0.02452759120464017 	 0.9967052715654952
2561 7.228309402978539e-07 	 1.0 	 0.024379704295824013 	 0.9965055910543131
2562 6.66186781603244e-07 	 1.0 	 0.024731817998579892 	 0.9965055910543131
2563 6.515825431792166e-07 	 1.0 	 0.02501672699925839 	 0.9965055910543131
2564 6.469420849602159e-07 	 1.0 	 0.024893315913127902 	 0.9964057507987221
2565 7.666226335226157e-07 	 1.0 	 0.025418445700404857 	 0.9966054313099042
2566 1.0119272542871727e-06 	 1.0 	 0.024113996299402515 	 0.9967052715654952
2567 5.952114501018002e-07 	 1.0 	 0.02506818390707115 	 0.9966054313099042
2568 6.491108299556458e-07 	 1.0 	 0.024158929269930473 	 0.9966054313099042
2569 6.901933656791926e-07 	 1.0 	 0.025021792726434035 	 0.996305910543131
2570 6.335384162788671e-07 	 1.0 	 0.024938769064744973 	 0.9965055910543131
2571 5.793405292448029e-07 	 1.0 	 0.02475373739785752 	 0.9968051118210862
2572 6.486049874989419e-07 	 1.0 	 0.025399671778173247 	 0.9966054313099042
2573 6.317652364485582e-07 	 1.0 	 0.024594925268347546 	 0.9966054313099042
2574 9.94143439322528e-07 	 1.0 	 0.02469783381172876 	 0.9965055910543131
2575 7.546948480909065e-07 	 1.0 	 0.024771698092820135 	 0.9965055910543131
2576 6.752213953826925e-07 	 1.0 	 0.024843281281730623 	 0.9966054313099042
2577 6.374825661046656e-07 	 1.0 	 0.024322551714119404 	 0.9967052715654952
2578 7.283575548289889e-07 	 1.0 	 0.02519648958406811 	 0.9965055910543131
2579 7.914421950802364e-07 	 1.0 	 0.024474527180538608 	 0.9968051118210862
2580 6.978277914394937e-07 	 1.0 	 0.024931574320375634 	 0.9965055910543131
2581 7.715016330311642e-07 	 1.0 	 0.02379539868620112 	 0.9969049520766773
2582 6.868235104808207e-07 	 1.0 	 0.024102134315306237 	 0.9971046325878594
2583 1.2004023681507192e-06 	 1.0 	 0.0239188235913068 	 0.9970047923322684
2584 6.32528139107933e-07 	 1.0 	 0.024511826963506515 	 0.9968051118210862
2585 5.703350310426459e-07 	 1.0 	 0.02422529282731047 	 0.9970047923322684
2586 6.017583191058407e-07 	 1.0 	 0.024217299290824584 	 0.9966054313099042
2587 5.806300427992994e-07 	 1.0 	 0.02494746752521061 	 0.9967052715654952
2588 6.5865426510058e-07 	 1.0 	 0.024626686465981523 	 0.9968051118210862
2589 6.956975444497004e-07 	 1.0 	 0.02485992733157973 	 0.9967052715654952
2590 7.068926577878188e-07 	 1.0 	 0.024382895177499513 	 0.9968051118210862
2591 2.67309671949846e-06 	 1.0 	 0.02583751792149443 	 0.9966054313099042
2592 7.344889991057357e-07 	 1.0 	 0.02506072527694071 	 0.9967052715654952
2593 6.278703042303846e-07 	 1.0 	 0.024998910117276334 	 0.9966054313099042
2594 7.112312964329703e-07 	 1.0 	 0.025770663956347487 	 0.9965055910543131
2595 6.180499864456124e-07 	 1.0 	 0.024460861851393585 	 0.9967052715654952
2596 7.115573121591012e-07 	 1.0 	 0.025640169909301416 	 0.9966054313099042
2597 6.369446234559462e-07 	 1.0 	 0.025347787032098577 	 0.9965055910543131
2598 7.847747839154806e-07 	 1.0 	 0.025504957438279876 	 0.9964057507987221
2599 6.55085017906174e-07 	 1.0 	 0.02510945840236806 	 0.9966054313099042
2600 9.880140143657456e-07 	 1.0 	 0.025148552341633053 	 0.9966054313099042
2601 6.663996704376984e-07 	 1.0 	 0.02497562184994579 	 0.9967052715654952
2602 6.750346157538445e-07 	 1.0 	 0.025264164615683753 	 0.9966054313099042
2603 7.839128037012699e-07 	 1.0 	 0.025236406760767997 	 0.9969049520766773
2604 6.858517128668495e-07 	 1.0 	 0.025479036817006428 	 0.9965055910543131
2605 6.159713519527088e-07 	 1.0 	 0.024334784773599356 	 0.9967052715654952
2606 6.123282645184247e-07 	 1.0 	 0.024255674133575607 	 0.9970047923322684
2607 6.813337802722686e-07 	 1.0 	 0.025343761599266258 	 0.9964057507987221
2608 1.4986538577663566e-06 	 1.0 	 0.025203894013044063 	 0.9969049520766773
2609 8.742944037477685e-07 	 1.0 	 0.02459698320702976 	 0.9968051118210862
2610 7.671922411016397e-07 	 1.0 	 0.02486612232848993 	 0.9968051118210862
2611 6.60491568635564e-07 	 1.0 	 0.025724000535320316 	 0.9966054313099042
2612 5.62320980450437e-07 	 1.0 	 0.024147630771218127 	 0.9968051118210862
2613 6.547021221683736e-07 	 1.0 	 0.024163023827279674 	 0.9969049520766773
2614 5.969554751203532e-07 	 1.0 	 0.025121160401294428 	 0.9968051118210862
2615 5.900102796998397e-07 	 1.0 	 0.0246195802818424 	 0.9970047923322684
2616 7.508834905095796e-07 	 1.0 	 0.024813164427222877 	 0.9966054313099042
2617 9.671943884538337e-07 	 1.0 	 0.024862461018266217 	 0.9967052715654952
2618 6.371051704250874e-07 	 1.0 	 0.025185913468723745 	 0.9969049520766773
2619 6.062146329169593e-07 	 1.0 	 0.02500844770063507 	 0.9968051118210862
2620 5.761905412155954e-07 	 1.0 	 0.02432033562384738 	 0.9968051118210862
2621 6.990509077856188e-07 	 1.0 	 0.024859750347482074 	 0.9969049520766773
2622 7.596194553066482e-07 	 1.0 	 0.0252856512328964 	 0.9962060702875399
2623 9.129239156581548e-07 	 1.0 	 0.025013383653976488 	 0.9966054313099042
2624 6.075314048571556e-07 	 1.0 	 0.02463220299890563 	 0.9964057507987221
2625 6.422783669715671e-07 	 1.0 	 0.024703033085066477 	 0.9967052715654952
2626 5.690025609118266e-07 	 1.0 	 0.02474239203874031 	 0.9969049520766773
2627 6.308648997020328e-07 	 1.0 	 0.024740929277259734 	 0.9965055910543131
2628 5.849552794445856e-07 	 1.0 	 0.02441088537730857 	 0.9970047923322684
2629 5.764011113517142e-07 	 1.0 	 0.024849339070239295 	 0.9967052715654952
2630 8.70792461531238e-07 	 1.0 	 0.02465068683027022 	 0.9969049520766773
2631 6.548974649943773e-07 	 1.0 	 0.02535544165561024 	 0.9967052715654952
2632 6.466946425000231e-07 	 1.0 	 0.025277151072588988 	 0.9964057507987221
2633 6.360092762086822e-07 	 1.0 	 0.025463195217766056 	 0.9966054313099042
2634 5.830814803462658e-07 	 1.0 	 0.02483834030548032 	 0.9967052715654952
2635 7.166453225623571e-07 	 1.0 	 0.024707630893329408 	 0.9965055910543131
2636 7.090684820620652e-07 	 1.0 	 0.025213705884915994 	 0.9965055910543131
2637 5.666084878080823e-07 	 1.0 	 0.025250267128719854 	 0.9966054313099042
2638 6.456420505247707e-07 	 1.0 	 0.024290212768060013 	 0.9969049520766773
2639 6.503089463633671e-07 	 1.0 	 0.02548625452944578 	 0.9965055910543131
2640 7.576705321696409e-07 	 1.0 	 0.024897591861112674 	 0.9967052715654952
2641 5.978164884722048e-07 	 1.0 	 0.024970553906423016 	 0.9965055910543131
2642 5.749509775989736e-07 	 1.0 	 0.024183852827893475 	 0.9970047923322684
2643 1.294424335119544e-06 	 1.0 	 0.024662919108927758 	 0.9970047923322684
2644 6.212488603345889e-07 	 1.0 	 0.02484665496920049 	 0.9966054313099042
2645 6.540456903601921e-07 	 1.0 	 0.025080228409065354 	 0.9966054313099042
2646 6.779085338966695e-07 	 1.0 	 0.024655180047733503 	 0.9968051118210862
2647 6.341596958580453e-07 	 1.0 	 0.024815340083871516 	 0.9968051118210862
2648 6.740034665685357e-07 	 1.0 	 0.024836751822215425 	 0.9968051118210862
2649 6.059812071957538e-07 	 1.0 	 0.024804247309899392 	 0.9967052715654952
2650 6.152168344557652e-07 	 1.0 	 0.025720169446602808 	 0.9967052715654952
2651 6.359601409018012e-07 	 1.0 	 0.024931062888630666 	 0.9964057507987221
2652 6.651207188828323e-07 	 1.0 	 0.02437884132893183 	 0.9969049520766773
2653 6.164417899120167e-07 	 1.0 	 0.024390184712867267 	 0.9968051118210862
2654 6.990149023525305e-07 	 1.0 	 0.025198263441860953 	 0.9966054313099042
2655 7.597650657380938e-07 	 1.0 	 0.024644424211106627 	 0.9965055910543131
2656 6.192000714035828e-07 	 1.0 	 0.024846058065880836 	 0.9967052715654952
2657 6.41477813005622e-07 	 1.0 	 0.025187966686345306 	 0.9965055910543131
2658 6.934731731172406e-07 	 1.0 	 0.02549907475229576 	 0.9966054313099042
2659 6.43509849975743e-07 	 1.0 	 0.025229549897428732 	 0.9966054313099042
2660 7.477338795827393e-07 	 1.0 	 0.02488882504833611 	 0.9966054313099042
2661 1.3900889684897778e-06 	 1.0 	 0.024881298921250856 	 0.9966054313099042
2662 5.950921301020174e-07 	 1.0 	 0.024923914608514126 	 0.9967052715654952
2663 1.6552206610074905e-06 	 1.0 	 0.02521601057553767 	 0.9965055910543131
2664 7.048246902559185e-07 	 1.0 	 0.025036096478212838 	 0.9967052715654952
2665 7.190209900390699e-07 	 1.0 	 0.02443142205648737 	 0.9968051118210862
2666 6.618220954723597e-07 	 1.0 	 0.02463360971684576 	 0.9969049520766773
2667 7.830730933932273e-07 	 1.0 	 0.024609316967162977 	 0.9967052715654952
2668 7.299840926373236e-07 	 1.0 	 0.024793362553714948 	 0.9968051118210862
2669 6.025127767371429e-07 	 1.0 	 0.02546241309397435 	 0.9968051118210862
2670 6.263760422181975e-07 	 1.0 	 0.024489866018499964 	 0.9969049520766773
2671 7.628417308866631e-07 	 1.0 	 0.024769833775849667 	 0.9969049520766773
2672 5.498687545956216e-07 	 1.0 	 0.02463581605975839 	 0.9966054313099042
2673 6.839541495918411e-07 	 1.0 	 0.02455918603073183 	 0.9969049520766773
2674 6.996654894460619e-07 	 1.0 	 0.024965174545291863 	 0.9968051118210862
2675 6.550024402221766e-07 	 1.0 	 0.024812919862469474 	 0.9969049520766773
2676 6.295710434615387e-07 	 1.0 	 0.026257404714186874 	 0.9966054313099042
2677 6.569366205242489e-07 	 1.0 	 0.025198169775634386 	 0.9965055910543131
2678 9.290892826642505e-07 	 1.0 	 0.024476738319273945 	 0.9969049520766773
2679 6.504415572300104e-07 	 1.0 	 0.024899368273669415 	 0.9967052715654952
2680 6.606608037787964e-07 	 1.0 	 0.02489657863936537 	 0.9968051118210862
2681 8.131445582149865e-07 	 1.0 	 0.024714399103893805 	 0.9968051118210862
2682 8.507806790069594e-07 	 1.0 	 0.024712256978235876 	 0.9968051118210862
2683 7.076459175453919e-07 	 1.0 	 0.02485627430553187 	 0.9967052715654952
2684 5.617030151400116e-07 	 1.0 	 0.02504824331484652 	 0.9965055910543131
2685 6.286369629758326e-07 	 1.0 	 0.02504495360771813 	 0.9968051118210862
2686 6.489810709412324e-07 	 1.0 	 0.02513442744920929 	 0.9967052715654952
2687 6.307789096487682e-07 	 1.0 	 0.024701794120936215 	 0.9968051118210862
2688 5.688718751115118e-07 	 1.0 	 0.024970635223241843 	 0.9967052715654952
2689 6.365736056574178e-07 	 1.0 	 0.024580193033540667 	 0.9966054313099042
2690 6.313301141416617e-07 	 1.0 	 0.025976113916155005 	 0.9965055910543131
2691 5.72278210107413e-07 	 1.0 	 0.02456248093962034 	 0.9970047923322684
2692 6.742665352392407e-07 	 1.0 	 0.025788152450582143 	 0.9967052715654952
2693 6.244270084189907e-07 	 1.0 	 0.02493783704464648 	 0.9969049520766773
2694 6.886352669177142e-07 	 1.0 	 0.025253835206267828 	 0.9966054313099042
2695 6.446584716431402e-07 	 1.0 	 0.02493143320207427 	 0.9968051118210862
2696 6.274729411892111e-07 	 1.0 	 0.02536168531180391 	 0.9967052715654952
2697 8.672016091388457e-07 	 1.0 	 0.025088064740231415 	 0.9968051118210862
2698 6.647103654381681e-07 	 1.0 	 0.02462125429501649 	 0.9967052715654952
2699 7.256078053839588e-07 	 1.0 	 0.025042344095420666 	 0.9968051118210862
2700 9.575035721984194e-07 	 1.0 	 0.02549706131841673 	 0.9966054313099042
2701 6.01680155216826e-07 	 1.0 	 0.025618680725565127 	 0.9965055910543131
2702 9.470989746348835e-07 	 1.0 	 0.024854363411589427 	 0.9967052715654952
2703 6.367943268979559e-07 	 1.0 	 0.02536078492266565 	 0.9967052715654952
2704 6.375006184534015e-07 	 1.0 	 0.02542124319357149 	 0.9965055910543131
2705 6.656689801575055e-07 	 1.0 	 0.02583422921328741 	 0.9966054313099042
2706 5.96598376719868e-07 	 1.0 	 0.024992984571217243 	 0.9966054313099042
2707 6.886880368283244e-07 	 1.0 	 0.025383523199955415 	 0.9968051118210862
2708 5.38498848481197e-07 	 1.0 	 0.024865855460125465 	 0.9966054313099042
2709 6.222284917312493e-07 	 1.0 	 0.024605545365462143 	 0.9967052715654952
2710 6.950907150879004e-07 	 1.0 	 0.02527809761883182 	 0.9966054313099042
2711 6.764124727095577e-07 	 1.0 	 0.025236039710144452 	 0.9966054313099042
2712 6.576183551015902e-07 	 1.0 	 0.024794733042693584 	 0.9966054313099042
2713 6.522288913065211e-07 	 1.0 	 0.025157470305289246 	 0.9967052715654952
2714 6.395178995828132e-07 	 1.0 	 0.024735705617710144 	 0.9967052715654952
2715 6.5356526736295e-07 	 1.0 	 0.0246762255966847 	 0.9969049520766773
2716 6.432772985073143e-07 	 1.0 	 0.02508484979117419 	 0.9966054313099042
2717 5.709910124461715e-07 	 1.0 	 0.02474392000719872 	 0.9969049520766773
2718 5.678987961384507e-07 	 1.0 	 0.025019294501788466 	 0.9966054313099042
2719 6.376570778971313e-07 	 1.0 	 0.025010261163129502 	 0.9967052715654952
2720 6.790071738289783e-07 	 1.0 	 0.02515910047978871 	 0.9967052715654952
2721 6.177928283395317e-07 	 1.0 	 0.025850415703376383 	 0.9966054313099042
2722 6.393988564768449e-07 	 1.0 	 0.02575588377360195 	 0.9968051118210862
2723 2.5562785955472125e-06 	 1.0 	 0.024813058973965598 	 0.9966054313099042
2724 1.0469429591948654e-06 	 1.0 	 0.024582120472938833 	 0.9965055910543131
2725 6.398310223255521e-07 	 1.0 	 0.02511668292642407 	 0.996305910543131
2726 7.103539024443251e-07 	 1.0 	 0.025104169652011152 	 0.9964057507987221
2727 7.563935504330744e-07 	 1.0 	 0.024490291084635404 	 0.9971046325878594
2728 7.146593899986442e-07 	 1.0 	 0.024315659710816503 	 0.9964057507987221
2729 8.348196044877909e-07 	 1.0 	 0.02525513099667834 	 0.9966054313099042
2730 7.924095838559708e-07 	 1.0 	 0.024322639976079027 	 0.9970047923322684
2731 8.362577959884732e-07 	 1.0 	 0.024880636739917784 	 0.9968051118210862
2732 6.52550477401661e-07 	 1.0 	 0.02463634914892641 	 0.9966054313099042
2733 7.587431376923348e-07 	 1.0 	 0.024828241735151815 	 0.9967052715654952
2734 6.862689950433776e-07 	 1.0 	 0.025352214653259337 	 0.996305910543131
2735 7.055195621002497e-07 	 1.0 	 0.025297701556551366 	 0.9965055910543131
2736 6.987101190949829e-07 	 1.0 	 0.02482364391372914 	 0.9968051118210862
2737 7.440060629130585e-07 	 1.0 	 0.024017169593281467 	 0.9968051118210862
2738 6.306097761769536e-07 	 1.0 	 0.024757076293801267 	 0.9968051118210862
2739 6.071113108097847e-07 	 1.0 	 0.02492358285619106 	 0.9965055910543131
2740 6.205940341463645e-07 	 1.0 	 0.024276748112940862 	 0.9969049520766773
2741 6.805915253238482e-07 	 1.0 	 0.025365136144569013 	 0.9966054313099042
2742 8.120905756329933e-07 	 1.0 	 0.024313592339361825 	 0.9968051118210862
2743 7.203106263102654e-07 	 1.0 	 0.024419072723682586 	 0.9969049520766773
2744 6.05651499296016e-07 	 1.0 	 0.02438361684963436 	 0.9971046325878594
2745 7.681705773673287e-07 	 1.0 	 0.02446695486960424 	 0.9968051118210862
2746 6.046812073699925e-07 	 1.0 	 0.024556499667252832 	 0.9967052715654952
2747 6.762632825339665e-07 	 1.0 	 0.02535933956036993 	 0.9964057507987221
2748 6.263540467220707e-07 	 1.0 	 0.024632723095359032 	 0.9968051118210862
2749 6.546059560628236e-07 	 1.0 	 0.025118604944059812 	 0.9964057507987221
2750 6.657853136366044e-07 	 1.0 	 0.025246922903119518 	 0.9965055910543131
2751 7.114169465380371e-07 	 1.0 	 0.024996758215521442 	 0.9966054313099042
2752 5.600363298241007e-07 	 1.0 	 0.024649704710202353 	 0.9971046325878594
2753 6.547511980132015e-07 	 1.0 	 0.024477895385666384 	 0.9967052715654952
2754 6.131059625417378e-07 	 1.0 	 0.024238500612016725 	 0.9970047923322684
2755 6.121042857020598e-07 	 1.0 	 0.02471448912092473 	 0.9966054313099042
2756 5.832330139961072e-07 	 1.0 	 0.025259766429409178 	 0.996305910543131
2757 6.324536195792518e-07 	 1.0 	 0.02475468714515165 	 0.9965055910543131
2758 5.873967224199816e-07 	 1.0 	 0.024511941172622502 	 0.9967052715654952
2759 6.247103367323348e-07 	 1.0 	 0.02494400874117769 	 0.9968051118210862
2760 7.63582066582984e-07 	 1.0 	 0.024903764356633856 	 0.9968051118210862
2761 6.474137118404145e-07 	 1.0 	 0.02481313372229322 	 0.9968051118210862
2762 6.916577982266858e-07 	 1.0 	 0.02507696980577498 	 0.9965055910543131
2763 6.310304591158911e-07 	 1.0 	 0.025052522277310214 	 0.9966054313099042
2764 5.975437227446889e-07 	 1.0 	 0.025074383652066084 	 0.9966054313099042
2765 5.766500747856185e-07 	 1.0 	 0.02499283171116988 	 0.9969049520766773
2766 5.299635799947566e-07 	 1.0 	 0.02446984040866083 	 0.9968051118210862
2767 6.025507211779768e-07 	 1.0 	 0.025107438959465718 	 0.9965055910543131
2768 6.14287191813645e-07 	 1.0 	 0.025077766970078026 	 0.9966054313099042
2769 6.89493738236564e-07 	 1.0 	 0.024810330882134517 	 0.9967052715654952
2770 6.421437280354781e-07 	 1.0 	 0.02586785592226076 	 0.9966054313099042
2771 7.129360418693409e-07 	 1.0 	 0.023936563392961505 	 0.9968051118210862
2772 6.526740315888446e-07 	 1.0 	 0.025418844799271496 	 0.9966054313099042
2773 6.962961236077092e-07 	 1.0 	 0.024321145888405435 	 0.9968051118210862
2774 6.27521913847886e-07 	 1.0 	 0.024427559554733917 	 0.9971046325878594
2775 5.893296222836852e-07 	 1.0 	 0.02480254567552405 	 0.9969049520766773
2776 6.084153584630769e-07 	 1.0 	 0.024954269596223284 	 0.9965055910543131
2777 6.139222669474976e-07 	 1.0 	 0.024471573909612167 	 0.9972044728434505
2778 6.52176459941387e-07 	 1.0 	 0.02437612028187041 	 0.9968051118210862
2779 9.483489725201366e-07 	 1.0 	 0.024874976016194077 	 0.9969049520766773
2780 6.274661722483188e-07 	 1.0 	 0.02449505790326151 	 0.9969049520766773
2781 5.523257251572033e-07 	 1.0 	 0.024727711961777726 	 0.9966054313099042
2782 6.281001563149857e-07 	 1.0 	 0.024445730296764244 	 0.9968051118210862
2783 5.64180290149352e-07 	 1.0 	 0.024737012772305677 	 0.9966054313099042
2784 5.648562004301994e-07 	 1.0 	 0.02472030353465788 	 0.9969049520766773
2785 6.405934704388017e-07 	 1.0 	 0.024135078045638032 	 0.9969049520766773
2786 5.824719545415746e-07 	 1.0 	 0.02490615933690513 	 0.9968051118210862
2787 5.819998428958684e-07 	 1.0 	 0.024663478228783193 	 0.9968051118210862
2788 9.335259069527524e-07 	 1.0 	 0.024487606766471513 	 0.9968051118210862
2789 5.767500146180282e-07 	 1.0 	 0.024190856013343785 	 0.9971046325878594
2790 8.074987007454127e-07 	 1.0 	 0.0246144272873274 	 0.9968051118210862
2791 6.236620900432399e-07 	 1.0 	 0.025187512414590496 	 0.9966054313099042
2792 6.379705333496588e-07 	 1.0 	 0.02438664088147596 	 0.9970047923322684
2793 8.476486284914131e-07 	 1.0 	 0.025172220643735414 	 0.9967052715654952
2794 5.368835052263421e-07 	 1.0 	 0.024587420902438383 	 0.9968051118210862
2795 6.591600820405574e-07 	 1.0 	 0.02518020503316059 	 0.9968051118210862
2796 6.31226359366508e-07 	 1.0 	 0.024560855895094123 	 0.9966054313099042
2797 6.233517667918421e-07 	 1.0 	 0.02434227392794782 	 0.9970047923322684
2798 5.9617006886441e-07 	 1.0 	 0.024996720565878698 	 0.9968051118210862
2799 6.556275346959239e-07 	 1.0 	 0.024571818925837006 	 0.9970047923322684
2800 6.362319093497604e-07 	 1.0 	 0.025210482131148307 	 0.9965055910543131
2801 5.490538164482928e-07 	 1.0 	 0.024678975142148885 	 0.9969049520766773
2802 5.93282960597179e-07 	 1.0 	 0.025185786124621114 	 0.9964057507987221
2803 6.043112424512742e-07 	 1.0 	 0.024605874287017847 	 0.9967052715654952
2804 5.638812040963615e-07 	 1.0 	 0.02492385341779819 	 0.9965055910543131
2805 7.54549669271114e-07 	 1.0 	 0.024341115793085157 	 0.9968051118210862
2806 6.113130863344907e-07 	 1.0 	 0.02459634531280193 	 0.9968051118210862
2807 6.258688897995057e-07 	 1.0 	 0.024935969796481428 	 0.9967052715654952
2808 6.603572179440675e-07 	 1.0 	 0.024316010802113146 	 0.9969049520766773
2809 6.239755134642166e-07 	 1.0 	 0.024986372486754557 	 0.9967052715654952
2810 8.581822811822803e-07 	 1.0 	 0.025193214459933833 	 0.9966054313099042
2811 5.974540111320437e-07 	 1.0 	 0.024948685171804777 	 0.9967052715654952
2812 5.967700902006356e-07 	 1.0 	 0.024689656147085414 	 0.9969049520766773
2813 5.830039873262649e-07 	 1.0 	 0.02507739504315532 	 0.9968051118210862
2814 8.226139286806244e-07 	 1.0 	 0.024768489956425027 	 0.9968051118210862
2815 7.628112261781439e-07 	 1.0 	 0.024883164290689333 	 0.9967052715654952
2816 5.563300161985296e-07 	 1.0 	 0.02457621690805046 	 0.9967052715654952
2817 6.048643722033375e-07 	 1.0 	 0.025964210029146843 	 0.9966054313099042
2818 5.807054187435767e-07 	 1.0 	 0.024431729379547507 	 0.9968051118210862
2819 6.445132541364273e-07 	 1.0 	 0.025192987274402206 	 0.9965055910543131
2820 6.270844775313833e-07 	 1.0 	 0.0245266636929205 	 0.9968051118210862
2821 5.883456506506946e-07 	 1.0 	 0.02454786996478125 	 0.9969049520766773
2822 7.5298661232722e-07 	 1.0 	 0.024993891192808742 	 0.9968051118210862
2823 6.776712793163142e-07 	 1.0 	 0.024751022914083015 	 0.9967052715654952
2824 6.009192816017616e-07 	 1.0 	 0.025212536643858814 	 0.9965055910543131
