604 2.1368918841676533e-06 	 1.0 	 0.023722626726118995 	 0.996305910543131
605 2.3266237034181357e-06 	 1.0 	 0.02257301773845717 	 0.9966054313099042
606 2.283786454233905e-06 	 1.0 	 0.02329057142481496 	 0.9964057507987221
607 2.896349403767999e-06 	 1.0 	 0.022910363085976077 	 0.9966054313099042
608 2.309989715511165e-06 	 1.0 	 0.022801181221221288 	 0.9962060702875399
609 2.502556636316058e-06 	 1.0 	 0.022957745112773528 	 0.9961062300319489
610 2.181122840684111e-06 	 1.0 	 0.023001828114596886 	 0.996305910543131
611 4.430708304823838e-06 	 1.0 	 0.023115646405677297 	 0.9966054313099042
612 2.555215823999788e-06 	 1.0 	 0.023800537546324264 	 0.996305910543131
613 3.5217072340356028e-06 	 1.0 	 0.02242893508192988 	 0.9964057507987221
614 4.028012746055083e-06 	 1.0 	 0.024098004048574775 	 0.9962060702875399
615 2.361299752931245e-06 	 1.0 	 0.023120063410862205 	 0.9962060702875399
616 2.1437717110029554e-06 	 1.0 	 0.02389185298550757 	 0.9966054313099042
617 2.6873621715878925e-06 	 1.0 	 0.02239157786113241 	 0.9967052715654952
618 2.7143699096131966e-06 	 1.0 	 0.022991298206656244 	 0.9967052715654952
619 2.3419388796833117e-06 	 1.0 	 0.022963636744770914 	 0.9967052715654952
620 2.3256418907953956e-06 	 1.0 	 0.022918649022826185 	 0.9967052715654952
621 2.064370015204986e-06 	 1.0 	 0.023573198110225308 	 0.9962060702875399
622 2.2659049994570067e-06 	 1.0 	 0.022337473656099168 	 0.9967052715654952
623 2.097581631212506e-06 	 1.0 	 0.02412333965342303 	 0.996305910543131
624 2.3325313561167605e-06 	 1.0 	 0.022944211511408626 	 0.9962060702875399
625 2.2663586448902608e-06 	 1.0 	 0.022920478616129277 	 0.9964057507987221
626 2.371237556756114e-06 	 1.0 	 0.023638366760682282 	 0.9964057507987221
627 2.614466202371659e-06 	 1.0 	 0.02298304824230096 	 0.9965055910543131
628 2.614899795378278e-06 	 1.0 	 0.0225348259727441 	 0.996305910543131
629 2.3179083997001726e-06 	 1.0 	 0.023264003457580184 	 0.9964057507987221
630 5.162141187190628e-06 	 1.0 	 0.023288584784419968 	 0.9965055910543131
631 2.4126926264921168e-06 	 1.0 	 0.023149758672748717 	 0.9968051118210862
632 2.489940388045397e-06 	 1.0 	 0.02294799940502468 	 0.9966054313099042
633 2.6632804365931405e-06 	 1.0 	 0.02274040111156053 	 0.9967052715654952
634 2.175093991772883e-06 	 1.0 	 0.02360055046574809 	 0.9965055910543131
635 2.3065007337186218e-06 	 1.0 	 0.02339329071791032 	 0.996305910543131
636 2.1059529458875657e-06 	 1.0 	 0.02267132857993599 	 0.9968051118210862
637 2.595700414674411e-06 	 1.0 	 0.023810595061896162 	 0.9965055910543131
638 2.2008742811999584e-06 	 1.0 	 0.022544000475239245 	 0.9967052715654952
639 5.629655629021045e-05 	 0.99998 	 0.02386285232974521 	 0.9962060702875399
640 6.21194346554148e-06 	 1.0 	 0.022758206191673017 	 0.9966054313099042
641 6.594030571718577e-06 	 1.0 	 0.023353329718796098 	 0.9965055910543131
642 7.49597022623675e-06 	 1.0 	 0.023864241616168146 	 0.9964057507987221
643 4.5717992050549584e-06 	 1.0 	 0.02327120240546699 	 0.9967052715654952
644 3.2758883361475454e-06 	 1.0 	 0.02343714941467286 	 0.9968051118210862
645 5.153819263287005e-06 	 1.0 	 0.023301948810236842 	 0.9966054313099042
646 3.142304751249867e-06 	 1.0 	 0.023844290029314406 	 0.9966054313099042
647 3.5214713698769627e-06 	 1.0 	 0.023193120536298455 	 0.9968051118210862
648 2.9291862047466568e-06 	 1.0 	 0.023812123589620822 	 0.9967052715654952
649 2.823275779908272e-06 	 1.0 	 0.023602050552229272 	 0.9967052715654952
650 3.2251952838578292e-06 	 1.0 	 0.023283715255007355 	 0.9967052715654952
651 3.1809893533863943e-06 	 1.0 	 0.022948582799037345 	 0.9967052715654952
652 2.995823623709839e-06 	 1.0 	 0.023639047731396107 	 0.9967052715654952
653 2.598537524800122e-06 	 1.0 	 0.023752309433353904 	 0.9968051118210862
654 2.802666168056476e-06 	 1.0 	 0.022635853502744347 	 0.9967052715654952
655 4.1913955644986345e-06 	 1.0 	 0.02376542511402131 	 0.9967052715654952
656 2.8906393908187055e-06 	 1.0 	 0.02244520906439006 	 0.9968051118210862
657 2.987192900792479e-06 	 1.0 	 0.02374918682307851 	 0.9966054313099042
658 2.5818121090651404e-06 	 1.0 	 0.02314743001375427 	 0.9967052715654952
659 3.3346973790844457e-06 	 1.0 	 0.023795246033653333 	 0.9966054313099042
660 3.6299296589481856e-06 	 1.0 	 0.02345918590199036 	 0.9967052715654952
661 2.6726055348513e-06 	 1.0 	 0.023841150309163055 	 0.9967052715654952
662 3.834711890713151e-06 	 1.0 	 0.023751985931617686 	 0.996305910543131
663 2.91769596407903e-06 	 1.0 	 0.02335089859575743 	 0.9966054313099042
664 2.8823589126704975e-06 	 1.0 	 0.023265498186294684 	 0.9965055910543131
665 2.676295237629347e-06 	 1.0 	 0.023758153488540285 	 0.9965055910543131
666 2.702386976957314e-06 	 1.0 	 0.024098161095441144 	 0.9965055910543131
667 2.8927968550920015e-06 	 1.0 	 0.02307071118496116 	 0.996305910543131
668 2.289373714809244e-06 	 1.0 	 0.02371467619607037 	 0.9966054313099042
669 2.4927476307811957e-06 	 1.0 	 0.023541407237964572 	 0.9966054313099042
670 5.664956133582564e-06 	 1.0 	 0.02435841393644688 	 0.9966054313099042
671 2.96250560517592e-06 	 1.0 	 0.024004924291434596 	 0.9966054313099042
672 2.5531791141770555e-06 	 1.0 	 0.024464058350272586 	 0.996305910543131
673 2.6071336365180284e-06 	 1.0 	 0.02421773552380807 	 0.9967052715654952
674 4.199916224335993e-06 	 1.0 	 0.02365395812693969 	 0.9968051118210862
675 2.766387588020507e-06 	 1.0 	 0.024086967983363027 	 0.9966054313099042
676 2.837926549320855e-06 	 1.0 	 0.025108837042961914 	 0.996305910543131
677 2.3701133740064506e-06 	 1.0 	 0.02417234300946348 	 0.9964057507987221
678 2.7676076604984702e-06 	 1.0 	 0.023363704833651407 	 0.9967052715654952
679 2.433479092196649e-06 	 1.0 	 0.024055305358186323 	 0.9965055910543131
680 2.446953034195758e-06 	 1.0 	 0.0240034935691899 	 0.9964057507987221
681 2.7322133286133975e-06 	 1.0 	 0.024388625789712907 	 0.9962060702875399
682 2.607439650928427e-06 	 1.0 	 0.0242077780049673 	 0.9966054313099042
683 2.7631444426674534e-06 	 1.0 	 0.023890946406923897 	 0.9964057507987221
684 2.369458743339692e-06 	 1.0 	 0.023663464556154753 	 0.9966054313099042
685 2.412677877814531e-06 	 1.0 	 0.02408766123214843 	 0.9966054313099042
686 3.690367263047847e-06 	 1.0 	 0.024200662779848583 	 0.9968051118210862
687 2.514000842029418e-06 	 1.0 	 0.023376293079013587 	 0.9967052715654952
688 2.4860914524197143e-06 	 1.0 	 0.024194612343854567 	 0.9965055910543131
689 2.715778988524562e-06 	 1.0 	 0.02340374256165385 	 0.9967052715654952
690 2.5754343672838333e-06 	 1.0 	 0.0237031593538014 	 0.9967052715654952
691 2.4933096592235416e-06 	 1.0 	 0.023839565572748113 	 0.9967052715654952
692 2.49606839375474e-06 	 1.0 	 0.023055420999157104 	 0.9965055910543131
693 2.10411280364724e-06 	 1.0 	 0.023217359105021564 	 0.9965055910543131
694 2.2456678670778275e-06 	 1.0 	 0.022864300385263145 	 0.9969049520766773
695 3.5554909055690588e-06 	 1.0 	 0.024414699419270953 	 0.9965055910543131
696 2.490378286422583e-06 	 1.0 	 0.024450556590956272 	 0.9966054313099042
697 2.9031604856982085e-06 	 1.0 	 0.023959703491355053 	 0.9967052715654952
698 2.117748212067454e-06 	 1.0 	 0.024440418435702008 	 0.9966054313099042
699 1.9807446632080426e-06 	 1.0 	 0.024658391446413876 	 0.9966054313099042
700 2.126766147188164e-06 	 1.0 	 0.023771949630674787 	 0.9967052715654952
701 3.1215521425406223e-06 	 1.0 	 0.02354689104696274 	 0.9967052715654952
702 2.12734924759161e-06 	 1.0 	 0.023917109371414374 	 0.9967052715654952
703 2.3902837958166854e-06 	 1.0 	 0.023575355023698074 	 0.9965055910543131
704 2.043550300181778e-06 	 1.0 	 0.02372108681052028 	 0.9965055910543131
705 2.2783502238758046e-06 	 1.0 	 0.023967937975783206 	 0.9964057507987221
706 2.395790370337636e-06 	 1.0 	 0.02466891121078204 	 0.9965055910543131
707 2.2320250922985e-06 	 1.0 	 0.02479135151558685 	 0.9966054313099042
708 2.2730726117765697e-06 	 1.0 	 0.02420441542625079 	 0.9964057507987221
709 1.9890844876022128e-06 	 1.0 	 0.023222230636998083 	 0.9965055910543131
710 3.4176662400454914e-06 	 1.0 	 0.0236768632339253 	 0.9964057507987221
711 4.4039182471101415e-06 	 1.0 	 0.023891559496579878 	 0.9967052715654952
712 2.5097081434773826e-06 	 1.0 	 0.02428048405478546 	 0.9962060702875399
713 1.9688803747203563e-06 	 1.0 	 0.025157127842076424 	 0.996305910543131
714 2.4770874963564894e-06 	 1.0 	 0.023750470810050193 	 0.9962060702875399
715 2.5531484425027885e-06 	 1.0 	 0.024868427454851048 	 0.9964057507987221
716 2.2575561318399196e-06 	 1.0 	 0.024252497258469664 	 0.9964057507987221
717 2.0823459940288556e-06 	 1.0 	 0.024982878148712768 	 0.996305910543131
718 2.5785366996092308e-06 	 1.0 	 0.02349843933680763 	 0.9966054313099042
719 2.2243723787096313e-06 	 1.0 	 0.024142279173621085 	 0.9966054313099042
720 1.9454047220074243e-06 	 1.0 	 0.023180104009288532 	 0.9966054313099042
721 2.1071446450719124e-06 	 1.0 	 0.023155363189656015 	 0.9967052715654952
722 2.521065002630394e-06 	 1.0 	 0.023609696263929735 	 0.9965055910543131
723 2.601907839109572e-06 	 1.0 	 0.02301614704146708 	 0.9966054313099042
724 2.3644246182448115e-06 	 1.0 	 0.025248891716341343 	 0.9962060702875399
725 2.9037448315784785e-06 	 1.0 	 0.022737439383559585 	 0.9968051118210862
726 2.2685542728163453e-06 	 1.0 	 0.024198836551104073 	 0.9965055910543131
727 4.486044418279107e-06 	 1.0 	 0.024280389227129218 	 0.9965055910543131
728 2.818909264588001e-06 	 1.0 	 0.023877429877288296 	 0.9964057507987221
729 2.138815729822454e-06 	 1.0 	 0.02477800446837843 	 0.9961062300319489
730 1.994947096075066e-06 	 1.0 	 0.02497118384767449 	 0.9961062300319489
731 2.3616393414010873e-06 	 1.0 	 0.024242394053951566 	 0.996305910543131
732 2.3700392646151156e-06 	 1.0 	 0.02399306893253564 	 0.9966054313099042
733 1.914539936287838e-06 	 1.0 	 0.02370668559140427 	 0.9965055910543131
734 2.332367725309723e-06 	 1.0 	 0.023672292820548682 	 0.9965055910543131
735 1.1486438926283426e-05 	 1.0 	 0.02416654895931204 	 0.9965055910543131
736 2.8732787550507057e-06 	 1.0 	 0.024436559921644622 	 0.9965055910543131
737 2.293013501230234e-06 	 1.0 	 0.024738383975938003 	 0.9966054313099042
738 2.9003860871739563e-06 	 1.0 	 0.02434471700968706 	 0.9967052715654952
739 2.5927554423424227e-06 	 1.0 	 0.024605331966169028 	 0.9965055910543131
740 4.042055405921019e-06 	 1.0 	 0.02356130841612854 	 0.9966054313099042
741 2.9896628277333546e-06 	 1.0 	 0.024165555131125588 	 0.9966054313099042
742 2.082943411987799e-06 	 1.0 	 0.024667918437982418 	 0.9964057507987221
743 2.206317724330802e-06 	 1.0 	 0.024108650283733532 	 0.9964057507987221
744 3.402502246401582e-06 	 1.0 	 0.023968876294801864 	 0.996305910543131
745 2.458448428697011e-06 	 1.0 	 0.024673059010423073 	 0.996305910543131
746 2.1198981356360493e-06 	 1.0 	 0.023453676505121288 	 0.9966054313099042
747 2.540052633733012e-06 	 1.0 	 0.024621405317829456 	 0.9964057507987221
748 2.47697256137144e-06 	 1.0 	 0.024199836725949726 	 0.996305910543131
749 2.2623811713833677e-06 	 1.0 	 0.023584041878655457 	 0.9968051118210862
750 1.8989754834933593e-06 	 1.0 	 0.024139020260291365 	 0.9965055910543131
751 2.120698560306664e-06 	 1.0 	 0.024229269847347915 	 0.9967052715654952
752 2.0428296210070583e-06 	 1.0 	 0.024344195663312106 	 0.9965055910543131
753 2.1733601763969546e-06 	 1.0 	 0.02492663022573016 	 0.996305910543131
754 1.9600752355700025e-06 	 1.0 	 0.0244297531571066 	 0.9965055910543131
755 1.9153680946851637e-06 	 1.0 	 0.024365891426446833 	 0.9965055910543131
756 2.514717315671078e-06 	 1.0 	 0.02475223028042701 	 0.9961062300319489
757 2.199701051085867e-06 	 1.0 	 0.02321488082027411 	 0.9968051118210862
758 1.9488644566024504e-06 	 1.0 	 0.02349134321383399 	 0.9967052715654952
759 2.517283803800865e-06 	 1.0 	 0.024228878911252708 	 0.9966054313099042
760 2.0170231184783916e-06 	 1.0 	 0.024117605867949272 	 0.9966054313099042
761 2.2312168419284717e-06 	 1.0 	 0.02427932096294113 	 0.9964057507987221
762 1.8489572571979807e-06 	 1.0 	 0.025237840611097205 	 0.9962060702875399
763 1.8228903623594305e-06 	 1.0 	 0.02424994989155936 	 0.9964057507987221
764 1.8013375772545714e-06 	 1.0 	 0.024553116251028427 	 0.996305910543131
765 1.9848333575964715e-06 	 1.0 	 0.024522836648278114 	 0.9964057507987221
766 1.7140568350782813e-06 	 1.0 	 0.0242367362598189 	 0.9965055910543131
767 2.0187599386940747e-06 	 1.0 	 0.024222337617010033 	 0.9966054313099042
768 2.2171187064975584e-06 	 1.0 	 0.02436245233279301 	 0.9966054313099042
769 1.888495276384674e-06 	 1.0 	 0.023771572191196192 	 0.9967052715654952
770 1.7455926227239616e-06 	 1.0 	 0.024170382575636876 	 0.9965055910543131
771 1.8357948498555743e-06 	 1.0 	 0.02411425689723569 	 0.9962060702875399
772 1.891524232687516e-06 	 1.0 	 0.024724617106624356 	 0.996305910543131
773 1.9734559135986273e-06 	 1.0 	 0.02482493560012628 	 0.9964057507987221
774 2.033324459727055e-06 	 1.0 	 0.023612975500135996 	 0.9967052715654952
775 1.6791463895833658e-06 	 1.0 	 0.024976973393162284 	 0.996305910543131
776 1.8917085162217973e-06 	 1.0 	 0.024673815926882628 	 0.996305910543131
777 1.9395033675334616e-06 	 1.0 	 0.023660519260495595 	 0.9965055910543131
778 2.187677894589797e-06 	 1.0 	 0.023465803079870083 	 0.9965055910543131
779 2.1257049253108562e-06 	 1.0 	 0.02379280905183349 	 0.9965055910543131
780 2.276082505572958e-06 	 1.0 	 0.024980951212838432 	 0.9964057507987221
781 1.9870503755464596e-06 	 1.0 	 0.02371163236791609 	 0.9967052715654952
782 1.8002899180464737e-06 	 1.0 	 0.023630692520246833 	 0.9964057507987221
783 1.8683693601496997e-06 	 1.0 	 0.02505007121071024 	 0.9962060702875399
784 2.365071533840819e-06 	 1.0 	 0.024304691392650863 	 0.9965055910543131
785 2.0617452715828223e-06 	 1.0 	 0.023832356027526407 	 0.9967052715654952
786 1.700297922941445e-06 	 1.0 	 0.02389710374691277 	 0.9965055910543131
787 1.8984024699943803e-06 	 1.0 	 0.02391267276259107 	 0.9965055910543131
788 1.777169143631454e-06 	 1.0 	 0.024248387085669027 	 0.9965055910543131
789 1.9005127252421516e-06 	 1.0 	 0.025350168460228847 	 0.9964057507987221
790 1.5682619355561656e-06 	 1.0 	 0.024016960153233798 	 0.9964057507987221
791 1.782086762294739e-06 	 1.0 	 0.023903349450926033 	 0.9964057507987221
792 1.7527558356084682e-06 	 1.0 	 0.02498943063656012 	 0.9962060702875399
793 2.239890036586303e-06 	 1.0 	 0.024238197839414274 	 0.9966054313099042
794 2.7513726174424846e-06 	 1.0 	 0.024362754028085742 	 0.9964057507987221
795 2.195631819799928e-06 	 1.0 	 0.024966734234155002 	 0.9964057507987221
796 2.2091317839408477e-06 	 1.0 	 0.025317171180215797 	 0.9962060702875399
797 1.6589936851846686e-06 	 1.0 	 0.02440709856588406 	 0.9966054313099042
798 1.8834153451894054e-06 	 1.0 	 0.024910578380913713 	 0.996305910543131
799 1.7257907283078566e-06 	 1.0 	 0.024595175933118225 	 0.9964057507987221
800 2.080106436785627e-06 	 1.0 	 0.0247082473783524 	 0.9964057507987221
801 1.7749692496965964e-06 	 1.0 	 0.025444909569855713 	 0.9960063897763578
802 1.6990144281999165e-06 	 1.0 	 0.025405675054670677 	 0.9966054313099042
803 2.1588620910847567e-06 	 1.0 	 0.02564693425496185 	 0.9965055910543131
804 1.9006572813316325e-06 	 1.0 	 0.023970858673137627 	 0.9966054313099042
805 1.6583473509649593e-06 	 1.0 	 0.024320463048741404 	 0.9964057507987221
806 1.9441294031844336e-06 	 1.0 	 0.025063198854281113 	 0.9964057507987221
807 1.8689652854800443e-06 	 1.0 	 0.024612423277636335 	 0.9964057507987221
808 1.9689753680677314e-06 	 1.0 	 0.024861835289813596 	 0.996305910543131
809 2.1543615294058327e-06 	 1.0 	 0.024465340894382025 	 0.996305910543131
810 1.9429733329343435e-06 	 1.0 	 0.024941168106092305 	 0.996305910543131
811 2.4990864496396626e-06 	 1.0 	 0.0256092721012459 	 0.9962060702875399
812 2.115119960531615e-06 	 1.0 	 0.02566432056930044 	 0.9962060702875399
813 1.8346665944648067e-06 	 1.0 	 0.024132167637512324 	 0.9964057507987221
814 2.1363149530259308e-06 	 1.0 	 0.024546586306655672 	 0.996305910543131
815 2.0228680213574535e-06 	 1.0 	 0.02485892223492472 	 0.9959065495207667
816 1.8473449793737017e-06 	 1.0 	 0.024594627353844052 	 0.9964057507987221
817 1.670290547140212e-06 	 1.0 	 0.024215259677424196 	 0.9964057507987221
818 1.8642742674182956e-06 	 1.0 	 0.024640338659945547 	 0.9967052715654952
819 1.9593220057095096e-06 	 1.0 	 0.024116535032611283 	 0.9965055910543131
820 1.8110782083658704e-06 	 1.0 	 0.02391640552582033 	 0.9967052715654952
821 1.7720559228905585e-06 	 1.0 	 0.024178867829873708 	 0.9966054313099042
822 2.090362121373346e-06 	 1.0 	 0.02478629694261296 	 0.9964057507987221
823 1.8639064009767027e-06 	 1.0 	 0.02447440179709197 	 0.996305910543131
824 1.6747839499169004e-06 	 1.0 	 0.02472574706523873 	 0.9961062300319489
825 1.900618240674703e-06 	 1.0 	 0.023446093042241472 	 0.9966054313099042
826 1.7316779814541405e-06 	 1.0 	 0.024767668197709147 	 0.9965055910543131
827 1.7912157730324907e-06 	 1.0 	 0.02481170414075149 	 0.996305910543131
828 1.78323598864921e-06 	 1.0 	 0.025140136994357833 	 0.9965055910543131
829 1.635670635190536e-06 	 1.0 	 0.025572651800622216 	 0.9960063897763578
830 1.7780159367066518e-06 	 1.0 	 0.02385511932445617 	 0.9962060702875399
831 2.172952831618886e-06 	 1.0 	 0.02411040183984883 	 0.9966054313099042
832 1.8655087165552687e-06 	 1.0 	 0.024963626565869493 	 0.996305910543131
833 1.8661596611104869e-06 	 1.0 	 0.025056567732020838 	 0.996305910543131
834 1.6296383899475587e-06 	 1.0 	 0.025277243137701598 	 0.9962060702875399
835 1.6278900282077301e-06 	 1.0 	 0.023827045474136683 	 0.996305910543131
836 2.1810881603926193e-06 	 1.0 	 0.024806465749876768 	 0.9964057507987221
837 1.5757578679557583e-06 	 1.0 	 0.025114634280871535 	 0.9964057507987221
838 1.8771992785787007e-06 	 1.0 	 0.025682443925454403 	 0.996305910543131
839 1.6163451657325822e-06 	 1.0 	 0.024968640036986633 	 0.9965055910543131
840 1.9946914211959664e-06 	 1.0 	 0.02494996984501433 	 0.9965055910543131
841 2.6546011316236216e-06 	 1.0 	 0.02496823960849545 	 0.9964057507987221
842 1.7801125331521917e-06 	 1.0 	 0.02501625547800818 	 0.996305910543131
843 1.5985243189470567e-06 	 1.0 	 0.02350333758944042 	 0.9964057507987221
844 1.908888388569494e-06 	 1.0 	 0.023769704806822622 	 0.9967052715654952
845 1.9250944036969033e-06 	 1.0 	 0.024510221024595564 	 0.9966054313099042
846 1.6381209441101418e-06 	 1.0 	 0.023866311941206322 	 0.9966054313099042
847 1.5212836269438412e-06 	 1.0 	 0.02431991240907527 	 0.9964057507987221
848 1.7420779830945321e-06 	 1.0 	 0.025498422157023342 	 0.996305910543131
849 1.6426665374365256e-06 	 1.0 	 0.024905969971590072 	 0.9964057507987221
850 1.579575797634334e-06 	 1.0 	 0.024257823796805286 	 0.996305910543131
851 1.7715514329972849e-06 	 1.0 	 0.02489389732855804 	 0.9964057507987221
852 1.8747336494618593e-06 	 1.0 	 0.024886971741753718 	 0.9966054313099042
853 2.0196272251638446e-06 	 1.0 	 0.023945046097544956 	 0.9967052715654952
854 1.5966244131664098e-06 	 1.0 	 0.025432606041131345 	 0.9964057507987221
855 1.4605275619260283e-06 	 1.0 	 0.024689721050590814 	 0.996305910543131
856 1.5797666713569924e-06 	 1.0 	 0.02433195538453477 	 0.9964057507987221
857 1.4949529701709708e-06 	 1.0 	 0.024177215180715753 	 0.996305910543131
858 1.914234256242935e-06 	 1.0 	 0.025411193482465937 	 0.9962060702875399
859 1.9639490414215288e-06 	 1.0 	 0.024332994228205184 	 0.996305910543131
860 1.5843184415814448e-06 	 1.0 	 0.0250847727781879 	 0.996305910543131
861 1.7066654582447427e-06 	 1.0 	 0.02481316565065377 	 0.9966054313099042
862 1.6186238049596113e-06 	 1.0 	 0.024245186279918236 	 0.9965055910543131
863 2.8215494321045753e-06 	 1.0 	 0.025565790820233754 	 0.996305910543131
864 1.8062474859891608e-06 	 1.0 	 0.023734000007179817 	 0.9965055910543131
865 2.4301889339483296e-06 	 1.0 	 0.02440477581654789 	 0.9964057507987221
866 1.6864956564040766e-06 	 1.0 	 0.025987930986311483 	 0.9962060702875399
867 2.0514304021122597e-06 	 1.0 	 0.02421886817289966 	 0.9964057507987221
868 1.4972584019881196e-06 	 1.0 	 0.02456720495512222 	 0.9964057507987221
869 1.5049056088957968e-06 	 1.0 	 0.025058364493523107 	 0.9965055910543131
870 1.9666093380635628e-06 	 1.0 	 0.024800316898576195 	 0.996305910543131
871 1.8758472426839035e-06 	 1.0 	 0.024004840182961822 	 0.9966054313099042
872 1.675446692636342e-06 	 1.0 	 0.025033107787751734 	 0.9966054313099042
873 1.8200407135213936e-06 	 1.0 	 0.023749268521406304 	 0.996305910543131
874 1.4901211677715764e-06 	 1.0 	 0.02470282351425445 	 0.996305910543131
875 1.6647543316469182e-06 	 1.0 	 0.025727340412670337 	 0.996305910543131
876 1.5027456196696677e-06 	 1.0 	 0.026021405019778714 	 0.996305910543131
877 1.7784176445331922e-06 	 1.0 	 0.024617172553480355 	 0.9965055910543131
878 1.9565966102345555e-06 	 1.0 	 0.02529462696620321 	 0.9962060702875399
879 1.6711694455375436e-06 	 1.0 	 0.024824359826157907 	 0.9964057507987221
880 1.5300473566355777e-06 	 1.0 	 0.024946614545879157 	 0.996305910543131
881 2.0783574314805266e-06 	 1.0 	 0.025181395726008124 	 0.9965055910543131
882 1.4790177232066525e-06 	 1.0 	 0.024989771544200207 	 0.9964057507987221
883 1.5824506885564915e-06 	 1.0 	 0.025413005466231407 	 0.9965055910543131
884 1.80322824752011e-06 	 1.0 	 0.025483557529416605 	 0.996305910543131
885 1.5939155113159132e-06 	 1.0 	 0.023756818065791323 	 0.996305910543131
886 1.3788609018718034e-06 	 1.0 	 0.025647739753727153 	 0.9964057507987221
887 1.409782495940135e-06 	 1.0 	 0.024605483193758267 	 0.996305910543131
888 1.6432376695672702e-06 	 1.0 	 0.024267910647091762 	 0.9966054313099042
889 1.6528328059598607e-06 	 1.0 	 0.02444786773236973 	 0.9965055910543131
890 1.7704682506155222e-06 	 1.0 	 0.024277498958633337 	 0.9965055910543131
891 1.6792788074792498e-06 	 1.0 	 0.024985955347349247 	 0.9965055910543131
892 1.5283871961537443e-06 	 1.0 	 0.023310423397875205 	 0.9967052715654952
893 1.6266344918631148e-06 	 1.0 	 0.024076248013580638 	 0.996305910543131
894 1.5172141148434549e-06 	 1.0 	 0.024654501381068752 	 0.9964057507987221
895 1.5726841744321973e-06 	 1.0 	 0.0244682266552636 	 0.9964057507987221
896 1.8828404773142892e-06 	 1.0 	 0.02563011137046673 	 0.996305910543131
897 1.8454394072415425e-06 	 1.0 	 0.024411942702714143 	 0.9965055910543131
898 1.6378804769180987e-06 	 1.0 	 0.02533806184236121 	 0.9964057507987221
899 1.5952422575207947e-06 	 1.0 	 0.025062790622310722 	 0.9960063897763578
900 3.0433723408089008e-06 	 1.0 	 0.02493767328980674 	 0.9965055910543131
901 2.0688904775857964e-06 	 1.0 	 0.0251840897523565 	 0.9962060702875399
902 1.522064001860599e-06 	 1.0 	 0.025273311913820273 	 0.9965055910543131
903 1.7394988529383682e-06 	 1.0 	 0.025257820084371822 	 0.996305910543131
904 1.781188008509389e-06 	 1.0 	 0.02561606500732199 	 0.9964057507987221
905 1.943208328534638e-06 	 1.0 	 0.025368884850956928 	 0.9962060702875399
906 1.6808919029938351e-06 	 1.0 	 0.02492287458881614 	 0.996305910543131
907 1.5327059104618002e-06 	 1.0 	 0.026791519552550238 	 0.9962060702875399
908 4.272901828232989e-06 	 1.0 	 0.026016594470177803 	 0.9957068690095847
909 2.1007507745230215e-06 	 1.0 	 0.02515270473601168 	 0.996305910543131
910 1.5899320076437107e-06 	 1.0 	 0.0239262309740666 	 0.9964057507987221
911 1.5695906653365909e-06 	 1.0 	 0.02489700978128728 	 0.9961062300319489
912 1.671110223096548e-06 	 1.0 	 0.0252303161321765 	 0.9962060702875399
913 1.4670478894277039e-06 	 1.0 	 0.02448458073620304 	 0.9961062300319489
914 1.652500937249215e-06 	 1.0 	 0.02479519196720895 	 0.9961062300319489
915 2.3664414313384443e-06 	 1.0 	 0.025918217310986688 	 0.9961062300319489
916 1.5567035566675713e-06 	 1.0 	 0.0246127150084406 	 0.996305910543131
917 1.5745849638108211e-06 	 1.0 	 0.025295867883482454 	 0.9964057507987221
918 1.6599953345416907e-06 	 1.0 	 0.024716336565869853 	 0.996305910543131
919 1.4617428693316014e-06 	 1.0 	 0.02518852484769463 	 0.9964057507987221
920 1.6902864330836565e-06 	 1.0 	 0.024947982732027394 	 0.9966054313099042
921 1.940275667207061e-06 	 1.0 	 0.025479963642932087 	 0.9965055910543131
922 1.4761724930065156e-06 	 1.0 	 0.02542700999711179 	 0.9961062300319489
923 1.9260924910514632e-06 	 1.0 	 0.02456819687235009 	 0.9965055910543131
924 1.9988539295127337e-06 	 1.0 	 0.026349834559708917 	 0.9959065495207667
925 1.762027086551825e-06 	 1.0 	 0.025449283637887385 	 0.996305910543131
926 1.8864531969120435e-06 	 1.0 	 0.025105538475896562 	 0.9961062300319489
927 1.5413526831503077e-06 	 1.0 	 0.02446230258315262 	 0.9962060702875399
928 1.6941350544820466e-06 	 1.0 	 0.025046877662723763 	 0.996305910543131
929 1.5928098223162123e-06 	 1.0 	 0.02486019942201845 	 0.9962060702875399
930 1.8917907745645835e-06 	 1.0 	 0.024122576690554235 	 0.9967052715654952
931 1.6208197678338364e-06 	 1.0 	 0.024789269810730687 	 0.9965055910543131
932 1.6244896171554047e-06 	 1.0 	 0.025013843564746802 	 0.9962060702875399
933 1.619248735119072e-06 	 1.0 	 0.024895923077502456 	 0.996305910543131
934 1.8678734562774935e-06 	 1.0 	 0.025114814775912406 	 0.9961062300319489
935 1.7472091343722696e-06 	 1.0 	 0.02483377794276479 	 0.996305910543131
936 1.8323544573661366e-06 	 1.0 	 0.02456206889665841 	 0.9967052715654952
937 1.6020337405848295e-06 	 1.0 	 0.025359053618647404 	 0.9965055910543131
938 1.5010793822762025e-06 	 1.0 	 0.025970047152406354 	 0.9962060702875399
939 1.524126126870442e-06 	 1.0 	 0.025812453869141667 	 0.9961062300319489
940 1.6827530685333159e-06 	 1.0 	 0.024272983006188898 	 0.9964057507987221
