320 2.638338481406406e-06 	 1.0 	 0.023052723440321186 	 0.99619140625
321 2.7011316171080425e-06 	 1.0 	 0.02251793556748325 	 0.99609375
322 2.8935809421308363e-06 	 1.0 	 0.022444896384020297 	 0.99609375
323 2.86227370105958e-06 	 1.0 	 0.022628099553418934 	 0.99609375
324 2.825292105243792e-06 	 1.0 	 0.022076326688187466 	 0.9962890625
325 2.7292469819439692e-06 	 1.0 	 0.0224517992354194 	 0.99609375
326 2.7098746972570805e-06 	 1.0 	 0.022689931463166602 	 0.99609375
327 2.9856636666214805e-06 	 1.0 	 0.022786631785735523 	 0.99609375
328 2.8988184134774817e-06 	 1.0 	 0.02266141955052845 	 0.9962890625
329 2.5519494763667792e-06 	 1.0 	 0.022109068766485506 	 0.9962890625
330 2.856080230116314e-06 	 1.0 	 0.02300194178004915 	 0.99609375
331 2.5336779079334705e-06 	 1.0 	 0.023293770088574205 	 0.99599609375
332 2.7928207872058607e-06 	 1.0 	 0.022556270446601447 	 0.99609375
333 2.933560386367962e-06 	 1.0 	 0.02222947018572228 	 0.99619140625
334 3.1399167899326595e-06 	 1.0 	 0.022051061488518542 	 0.99619140625
335 2.8398734937121485e-06 	 1.0 	 0.022463565598188497 	 0.99619140625
336 2.5781766799731777e-06 	 1.0 	 0.021864219151906637 	 0.996484375
337 2.9483555430176503e-06 	 1.0 	 0.02238548688264146 	 0.99609375
338 2.9996719949954324e-06 	 1.0 	 0.02196390687602019 	 0.9962890625
339 2.7560076779004085e-06 	 1.0 	 0.02288691318123952 	 0.99609375
340 2.7922776483386456e-06 	 1.0 	 0.021609468588440706 	 0.9962890625
341 4.135346241068094e-06 	 1.0 	 0.022098131879284465 	 0.99638671875
342 2.6628640334372607e-06 	 1.0 	 0.022314731478259374 	 0.9962890625
343 2.726545910686431e-06 	 1.0 	 0.02222926810787129 	 0.99609375
344 2.5266903576894526e-06 	 1.0 	 0.022001775647051146 	 0.99619140625
345 2.4512250192542278e-06 	 1.0 	 0.022648460669300617 	 0.99609375
346 2.749399359034149e-06 	 1.0 	 0.02248988960842411 	 0.9962890625
347 2.5920036204160265e-06 	 1.0 	 0.02221631603710179 	 0.99609375
348 2.597670143126021e-06 	 1.0 	 0.022249184071767302 	 0.9962890625
349 2.4478518680477356e-06 	 1.0 	 0.02240439827296683 	 0.99609375
350 2.520784694352862e-06 	 1.0 	 0.022017490696807585 	 0.9962890625
351 2.7417225793561623e-06 	 1.0 	 0.022064086940129356 	 0.9962890625
352 2.9279359794703677e-06 	 1.0 	 0.02163372996026567 	 0.99619140625
353 2.682279313919195e-06 	 1.0 	 0.022814675126195994 	 0.9962890625
354 2.8571292605826722e-06 	 1.0 	 0.02218348978183684 	 0.9962890625
355 2.788064730696735e-06 	 1.0 	 0.02215672738441867 	 0.996484375
356 2.4813893980205494e-06 	 1.0 	 0.022830724627515054 	 0.99619140625
357 2.5314956725828207e-06 	 1.0 	 0.02239140196503726 	 0.99638671875
358 2.2330401569041946e-06 	 1.0 	 0.022142063950756352 	 0.9962890625
359 2.6004100788541667e-06 	 1.0 	 0.02269664666469424 	 0.9962890625
360 2.507019178893896e-06 	 1.0 	 0.022084862789103 	 0.9962890625
361 2.8365941072515527e-06 	 1.0 	 0.022697296601737804 	 0.99619140625
362 2.6311068493743588e-06 	 1.0 	 0.022661870073275737 	 0.99619140625
363 2.2454112725507217e-06 	 1.0 	 0.022017919574990684 	 0.9962890625
364 2.476553076568678e-06 	 1.0 	 0.02278853457887209 	 0.99619140625
365 2.6943652314499593e-06 	 1.0 	 0.02170663384842584 	 0.99599609375
366 2.8045717387538534e-06 	 1.0 	 0.02275901216553109 	 0.9962890625
367 3.000802826703331e-06 	 1.0 	 0.022762414432672528 	 0.9962890625
368 2.5349863933523784e-06 	 1.0 	 0.022838190902502477 	 0.99638671875
369 2.389469849978104e-06 	 1.0 	 0.022233645924379885 	 0.99609375
370 2.427570999825641e-06 	 1.0 	 0.0223462802576762 	 0.99619140625
371 2.4372510184900847e-06 	 1.0 	 0.02240736091882454 	 0.99609375
372 3.8073272981549347e-06 	 1.0 	 0.02268938725647871 	 0.99609375
373 2.790774419838174e-06 	 1.0 	 0.02221433811949538 	 0.9962890625
374 2.517057947423619e-06 	 1.0 	 0.02243520856894605 	 0.9962890625
375 2.4352738985457655e-06 	 1.0 	 0.022135897462668908 	 0.99609375
376 2.7030999303930664e-06 	 1.0 	 0.02152558399866251 	 0.99638671875
377 2.0922311223429184e-06 	 1.0 	 0.022469311984356467 	 0.9962890625
378 2.2627084692600604e-06 	 1.0 	 0.021636003525106418 	 0.996484375
379 2.178634427863776e-06 	 1.0 	 0.02293401392115584 	 0.99619140625
380 2.2986463610995207e-06 	 1.0 	 0.023233230172331077 	 0.9962890625
381 3.01581727966587e-06 	 1.0 	 0.02206160405880908 	 0.99619140625
382 2.735227106161329e-06 	 1.0 	 0.023251124149961555 	 0.99609375
383 2.4052411029171237e-06 	 1.0 	 0.022010013240699778 	 0.99638671875
384 2.414613144883147e-06 	 1.0 	 0.02309260446707384 	 0.99619140625
385 2.6808619724808912e-06 	 1.0 	 0.022745079568077385 	 0.9962890625
386 2.4259285521973262e-06 	 1.0 	 0.02342703592989608 	 0.99599609375
387 2.253449450837389e-06 	 1.0 	 0.023747256704875496 	 0.99609375
388 2.4735250010414983e-06 	 1.0 	 0.022517857053081514 	 0.99609375
389 2.3579738319855014e-06 	 1.0 	 0.023322486040059688 	 0.99619140625
390 2.0790520241641327e-06 	 1.0 	 0.022770041322656455 	 0.99609375
391 2.3352845814502766e-06 	 1.0 	 0.023225096438678604 	 0.99619140625
392 2.1691499478706916e-06 	 1.0 	 0.022816201364292965 	 0.99638671875
393 2.4100641201013897e-06 	 1.0 	 0.022747556824204197 	 0.9962890625
394 2.3199107826388373e-06 	 1.0 	 0.022756459876170254 	 0.99609375
395 2.906399105825276e-06 	 1.0 	 0.022160631604230475 	 0.9962890625
396 2.344718961529374e-06 	 1.0 	 0.02249143121476891 	 0.99619140625
397 2.5262227119707704e-06 	 1.0 	 0.022845460619400626 	 0.99619140625
398 2.211887737907384e-06 	 1.0 	 0.02246565985308848 	 0.99609375
399 2.171098280912055e-06 	 1.0 	 0.022608369154878006 	 0.99619140625
400 2.5271248514103637e-06 	 1.0 	 0.023153629237284434 	 0.99609375
401 2.364913228148626e-06 	 1.0 	 0.022378591672767102 	 0.99619140625
402 2.637786878757654e-06 	 1.0 	 0.0228597096479767 	 0.99609375
403 2.339653165594325e-06 	 1.0 	 0.0221038144428789 	 0.99619140625
404 2.3751758453349245e-06 	 1.0 	 0.022899598338076997 	 0.9962890625
405 2.349874935986646e-06 	 1.0 	 0.02241985537695044 	 0.99609375
406 2.0410476928334256e-06 	 1.0 	 0.022552421934474865 	 0.99619140625
407 2.133793591028711e-06 	 1.0 	 0.022564500905508565 	 0.99619140625
408 2.4999721260202857e-06 	 1.0 	 0.02211938232068391 	 0.99619140625
409 3.0562431007333507e-06 	 1.0 	 0.021945092298541625 	 0.99609375
410 2.0963710322457305e-06 	 1.0 	 0.02257938629273184 	 0.9962890625
411 2.219832679830267e-06 	 1.0 	 0.022417513064389282 	 0.99619140625
412 2.3353913956133606e-06 	 1.0 	 0.022810737400711645 	 0.9962890625
413 2.421237857042495e-06 	 1.0 	 0.022854003198686003 	 0.9962890625
414 2.1775136455198895e-06 	 1.0 	 0.02162872902395918 	 0.9962890625
415 2.2211413978565154e-06 	 1.0 	 0.022034249635232327 	 0.99619140625
416 2.219766988682378e-06 	 1.0 	 0.02238344806032515 	 0.99619140625
417 2.3228742141872994e-06 	 1.0 	 0.023003210026885056 	 0.99619140625
418 1.9771509690498303e-06 	 1.0 	 0.02289564556805388 	 0.99609375
419 1.946259667847652e-06 	 1.0 	 0.021904915606436502 	 0.99609375
420 2.2072819404339356e-06 	 1.0 	 0.022348678062867576 	 0.99619140625
421 2.0799348152524446e-06 	 1.0 	 0.02233408668936292 	 0.99619140625
422 2.441735335762244e-06 	 1.0 	 0.022310530095084147 	 0.99638671875
423 2.419176352315979e-06 	 1.0 	 0.022609870044974657 	 0.9962890625
424 2.177118025646569e-06 	 1.0 	 0.02252134541521116 	 0.99619140625
425 2.6278368478203688e-06 	 1.0 	 0.022568835430486444 	 0.99609375
426 1.976748131298041e-06 	 1.0 	 0.02254339121432878 	 0.99638671875
427 2.406852493322149e-06 	 1.0 	 0.022125130177081332 	 0.99609375
428 2.261083574472427e-06 	 1.0 	 0.0225172511755126 	 0.99619140625
429 2.5399015998766368e-06 	 1.0 	 0.022642243796601493 	 0.99609375
430 2.1063245814417325e-06 	 1.0 	 0.022829759243823845 	 0.99609375
431 2.1533977157427415e-06 	 1.0 	 0.022550744673399237 	 0.99609375
432 2.181801738728623e-06 	 1.0 	 0.022340645255772527 	 0.99619140625
433 2.1042567687675882e-06 	 1.0 	 0.0227516336902454 	 0.99619140625
434 2.0993907423406646e-06 	 1.0 	 0.022810875764274385 	 0.9962890625
435 2.1318928523568272e-06 	 1.0 	 0.022845176672014134 	 0.99609375
436 2.1082157857567943e-06 	 1.0 	 0.02224556446821637 	 0.996484375
437 2.0099638527949946e-06 	 1.0 	 0.022172896242918228 	 0.9962890625
438 2.222277122387134e-06 	 1.0 	 0.023086393044317078 	 0.9962890625
439 2.0580411481151874e-06 	 1.0 	 0.021916928022907456 	 0.9962890625
440 2.058404891623931e-06 	 1.0 	 0.022566745359903707 	 0.99609375
441 1.942812890893433e-06 	 1.0 	 0.02249565477727842 	 0.99619140625
442 2.190432511546849e-06 	 1.0 	 0.02281254610003458 	 0.99619140625
443 1.944877135807111e-06 	 1.0 	 0.022948087138240682 	 0.9962890625
444 1.9447616917663103e-06 	 1.0 	 0.022271817927509117 	 0.99638671875
445 2.383435442476426e-06 	 1.0 	 0.022424732242940594 	 0.9962890625
446 2.1869124542668046e-06 	 1.0 	 0.02252826242924897 	 0.99609375
447 2.0567041178503382e-06 	 1.0 	 0.022561803593580267 	 0.99619140625
448 2.190331123458813e-06 	 1.0 	 0.022812702467124524 	 0.99609375
449 2.1591802390792886e-06 	 1.0 	 0.022275529068001277 	 0.99619140625
450 1.975681899155396e-06 	 1.0 	 0.02261508035754787 	 0.99619140625
451 1.8338108884389098e-06 	 1.0 	 0.022361665081077575 	 0.99619140625
452 1.8737152762477845e-06 	 1.0 	 0.02315572086287645 	 0.99609375
453 2.1379769029898274e-06 	 1.0 	 0.023307529658532646 	 0.99599609375
454 2.089288403242411e-06 	 1.0 	 0.02321806909377173 	 0.99609375
455 2.1638234124090544e-06 	 1.0 	 0.02256802449123967 	 0.99619140625
456 2.0173435635323495e-06 	 1.0 	 0.02278094296987092 	 0.99609375
457 2.1358326293025445e-06 	 1.0 	 0.022415778703151545 	 0.99619140625
458 1.7765489901456934e-06 	 1.0 	 0.02288541683558378 	 0.9962890625
459 1.807111167807288e-06 	 1.0 	 0.022324275432318075 	 0.99619140625
460 1.771360447607765e-06 	 1.0 	 0.022764745311164347 	 0.99619140625
461 1.816658646809054e-06 	 1.0 	 0.02230790346404774 	 0.99619140625
462 1.931940925486489e-06 	 1.0 	 0.023084400670533967 	 0.99638671875
463 2.2939505453121554e-06 	 1.0 	 0.02332652006360263 	 0.99638671875
464 2.541509312250779e-06 	 1.0 	 0.02240182857952675 	 0.9962890625
465 2.027342215000936e-06 	 1.0 	 0.022567767230295743 	 0.9962890625
466 2.3476743828079233e-06 	 1.0 	 0.02259159806011297 	 0.99609375
467 1.8154898317762298e-06 	 1.0 	 0.02298540372761835 	 0.9962890625
468 2.426740789335914e-06 	 1.0 	 0.022945095860787745 	 0.9962890625
469 1.9460851999849317e-06 	 1.0 	 0.02265667011120236 	 0.9962890625
470 1.9185704218507174e-06 	 1.0 	 0.022830735528347645 	 0.99619140625
471 1.7745573756383935e-06 	 1.0 	 0.022955632145306736 	 0.9962890625
472 1.8491598645943407e-06 	 1.0 	 0.022896106060807143 	 0.99638671875
473 1.962635673340475e-06 	 1.0 	 0.022681049476702953 	 0.99619140625
474 1.873023886763899e-06 	 1.0 	 0.023460815939480996 	 0.99619140625
475 2.0260272085806137e-06 	 1.0 	 0.022636479290083146 	 0.99609375
476 1.9040354844140721e-06 	 1.0 	 0.02348703607100546 	 0.99609375
477 2.0696883658028037e-06 	 1.0 	 0.022949910489820268 	 0.99609375
478 2.370661954874309e-06 	 1.0 	 0.02223408143710941 	 0.996484375
479 1.6948775638542885e-06 	 1.0 	 0.02246409632737567 	 0.9962890625
480 2.173171722974601e-06 	 1.0 	 0.022871659225842222 	 0.99638671875
481 1.926629258431443e-06 	 1.0 	 0.0222646464931195 	 0.99619140625
482 1.6591550707736176e-06 	 1.0 	 0.02275986698605692 	 0.99638671875
483 1.851930706460039e-06 	 1.0 	 0.022601575065933945 	 0.99609375
484 2.00431313371848e-06 	 1.0 	 0.02236976114848872 	 0.9962890625
485 1.9055246714997385e-06 	 1.0 	 0.02328059529715105 	 0.99609375
486 1.8988754718206775e-06 	 1.0 	 0.022991057473899446 	 0.9962890625
487 1.970668630828072e-06 	 1.0 	 0.023044569574176423 	 0.99619140625
488 1.9727757915053326e-06 	 1.0 	 0.023240400846358256 	 0.99619140625
489 2.0694311836056965e-06 	 1.0 	 0.022706935693283015 	 0.99638671875
490 2.02594293566801e-06 	 1.0 	 0.02325702085627057 	 0.9962890625
491 1.766002501359681e-06 	 1.0 	 0.023310833558516465 	 0.99609375
492 2.0185490785517867e-06 	 1.0 	 0.02283538019100817 	 0.99619140625
493 1.7595522170836666e-06 	 1.0 	 0.022717021621233614 	 0.9962890625
494 2.022015040232561e-06 	 1.0 	 0.023105159508116913 	 0.99619140625
495 1.980756463660288e-06 	 1.0 	 0.02242753289384396 	 0.9962890625
496 1.8840765331937003e-06 	 1.0 	 0.022531024105452248 	 0.9962890625
497 2.1735785968998883e-06 	 1.0 	 0.022866036504299102 	 0.9962890625
498 1.8302129790811397e-06 	 1.0 	 0.022944298970904952 	 0.99609375
499 2.0941742766726027e-06 	 1.0 	 0.023286176521054358 	 0.99609375
500 1.6982635364500851e-06 	 1.0 	 0.02266587582815589 	 0.99609375
501 2.0630699537405863e-06 	 1.0 	 0.023128606574333334 	 0.9962890625
502 2.164219885442486e-06 	 1.0 	 0.022625626901140804 	 0.9962890625
503 1.6141430850191339e-06 	 1.0 	 0.023173258399086905 	 0.9962890625
504 1.8191475512414208e-06 	 1.0 	 0.02259708187423968 	 0.99609375
505 1.6539680730391904e-06 	 1.0 	 0.023207849015054904 	 0.99609375
506 1.7606331530632094e-06 	 1.0 	 0.022750616336883668 	 0.99609375
507 1.9533406734698035e-06 	 1.0 	 0.02288128510853369 	 0.99619140625
508 1.71011024371743e-06 	 1.0 	 0.022645502024163024 	 0.99609375
509 1.8508377432271911e-06 	 1.0 	 0.022273308867557517 	 0.99619140625
510 1.8009384428946609e-06 	 1.0 	 0.02337584844301972 	 0.9962890625
511 2.0166881422669213e-06 	 1.0 	 0.022551449899179232 	 0.9962890625
512 1.567947411463847e-06 	 1.0 	 0.022641818352983734 	 0.99638671875
513 2.0531220934659277e-06 	 1.0 	 0.023151937994888884 	 0.99619140625
514 1.6325365407892674e-06 	 1.0 	 0.022960308117628614 	 0.9962890625
515 1.9075028830993827e-06 	 1.0 	 0.022860378119614923 	 0.9962890625
516 1.7243669927332115e-06 	 1.0 	 0.022859568982316603 	 0.99609375
517 1.6497383663082634e-06 	 1.0 	 0.022796205993312668 	 0.9962890625
518 1.8218815082340152e-06 	 1.0 	 0.02327873507428464 	 0.99638671875
519 1.987908630119253e-06 	 1.0 	 0.023171427379230634 	 0.99609375
520 1.7094858245037378e-06 	 1.0 	 0.02318596692564867 	 0.99619140625
521 1.8824484419450682e-06 	 1.0 	 0.02339622932728318 	 0.99619140625
522 2.949316817203789e-06 	 1.0 	 0.022424754957577876 	 0.9962890625
523 1.681369038727719e-06 	 1.0 	 0.022851308938600566 	 0.99638671875
524 1.8812710538779467e-06 	 1.0 	 0.022450208381805937 	 0.99619140625
525 1.6310652683940767e-06 	 1.0 	 0.02243420609431439 	 0.99638671875
526 2.066276024111978e-06 	 1.0 	 0.023654582552203606 	 0.99619140625
527 1.754226913277898e-06 	 1.0 	 0.022760691944722567 	 0.996484375
528 1.770364998096936e-06 	 1.0 	 0.022676557947778165 	 0.9962890625
529 1.8425427106834218e-06 	 1.0 	 0.023038994538068635 	 0.9962890625
530 1.8535448141549419e-06 	 1.0 	 0.023193967609157796 	 0.99619140625
531 1.5191790454045149e-06 	 1.0 	 0.02357242621951272 	 0.99619140625
532 1.4508321887596747e-06 	 1.0 	 0.022724823473695466 	 0.9962890625
533 1.5812388107221227e-06 	 1.0 	 0.02292944205158918 	 0.99638671875
534 1.49444463502446e-06 	 1.0 	 0.022928001916720574 	 0.99609375
535 1.8544416807495727e-06 	 1.0 	 0.022562249282744064 	 0.9962890625
536 1.7160251492705612e-06 	 1.0 	 0.022046263501828634 	 0.9962890625
537 1.9036203034264433e-06 	 1.0 	 0.022949544731125825 	 0.99619140625
538 1.623924975594882e-06 	 1.0 	 0.02239835916803159 	 0.99619140625
539 1.7392770813241017e-06 	 1.0 	 0.022922542347399856 	 0.99619140625
540 1.555385141576262e-06 	 1.0 	 0.022701754906684357 	 0.99619140625
541 1.8211676230034603e-06 	 1.0 	 0.023130530262557868 	 0.9962890625
542 1.648458206648258e-06 	 1.0 	 0.02359598945112822 	 0.99619140625
543 1.5503203939007314e-06 	 1.0 	 0.023087456993720678 	 0.9958984375
544 1.561877344457266e-06 	 1.0 	 0.023041831270121094 	 0.99638671875
545 1.7165800209247261e-06 	 1.0 	 0.02269750491571898 	 0.99638671875
546 1.9354871099499285e-06 	 1.0 	 0.02206434278535383 	 0.99609375
547 2.1970231803861726e-06 	 1.0 	 0.02288974615398729 	 0.99638671875
548 1.7370577911152648e-06 	 1.0 	 0.023266932778584958 	 0.9962890625
549 1.594267794299852e-06 	 1.0 	 0.02323159149109628 	 0.9962890625
550 1.5313551790381252e-06 	 1.0 	 0.02273961714545756 	 0.99619140625
551 1.7947906575595752e-06 	 1.0 	 0.02319227925938492 	 0.9962890625
552 1.8576877510788428e-06 	 1.0 	 0.023731708716475453 	 0.99619140625
553 1.4984801165886047e-06 	 1.0 	 0.023690982876445332 	 0.99599609375
554 1.6574152142419667e-06 	 1.0 	 0.023016516940021603 	 0.99638671875
555 1.6465288071175218e-06 	 1.0 	 0.022795201661323004 	 0.996484375
556 1.7002016005315692e-06 	 1.0 	 0.023566756404907352 	 0.9962890625
557 1.7240817231633808e-06 	 1.0 	 0.023873291256885663 	 0.99619140625
558 1.9179765740380767e-06 	 1.0 	 0.02289286908426007 	 0.99638671875
559 1.700486969759107e-06 	 1.0 	 0.023059009097336512 	 0.99619140625
560 1.8822776758827942e-06 	 1.0 	 0.02418265695755082 	 0.99619140625
561 1.5140113133003834e-06 	 1.0 	 0.023680915008358026 	 0.99619140625
562 1.5993203417203677e-06 	 1.0 	 0.023258016493821997 	 0.9962890625
563 1.819485549333567e-06 	 1.0 	 0.023526804546102655 	 0.9962890625
564 1.8409045588038593e-06 	 1.0 	 0.022995354587063234 	 0.9962890625
565 1.3406584382754868e-06 	 1.0 	 0.02303788927911512 	 0.99638671875
566 1.4677571545545499e-06 	 1.0 	 0.02342880169032959 	 0.99609375
567 1.6201583953127685e-06 	 1.0 	 0.022915403356387996 	 0.9962890625
568 1.6779966872179947e-06 	 1.0 	 0.022848401668291274 	 0.99609375
569 1.5674911004101134e-06 	 1.0 	 0.02275419926352775 	 0.9962890625
570 1.5122572081153245e-06 	 1.0 	 0.02361114664329733 	 0.9962890625
571 1.5152111274773515e-06 	 1.0 	 0.022613503410194014 	 0.9962890625
572 1.6330876747342281e-06 	 1.0 	 0.022992611535848084 	 0.9962890625
573 1.7436136576077358e-06 	 1.0 	 0.022599450075410844 	 0.9962890625
574 1.703479205874144e-06 	 1.0 	 0.0233261557450831 	 0.99609375
575 1.5815555234253585e-06 	 1.0 	 0.022940450713632286 	 0.9962890625
576 1.6497045764938955e-06 	 1.0 	 0.023428509529010454 	 0.99609375
577 1.4762027217736951e-06 	 1.0 	 0.022698413504817695 	 0.9962890625
578 1.6567753507731356e-06 	 1.0 	 0.023002700965738043 	 0.99619140625
579 3.6537198801369114e-06 	 1.0 	 0.023390778794783528 	 0.9958984375
580 1.8731926275067893e-06 	 1.0 	 0.023078640341905654 	 0.99599609375
581 1.893538507118165e-06 	 1.0 	 0.023740439137482028 	 0.9958984375
582 1.8389597304282206e-06 	 1.0 	 0.023075825354111144 	 0.99599609375
583 1.7501638202047662e-06 	 1.0 	 0.022602549166662912 	 0.99609375
584 1.5591764530342778e-06 	 1.0 	 0.02350580414323744 	 0.99609375
585 1.4754349676633371e-06 	 1.0 	 0.023413817038905195 	 0.99609375
586 1.8454043539138422e-06 	 1.0 	 0.02313715594072434 	 0.99609375
587 2.206619400656987e-06 	 1.0 	 0.023547265297100495 	 0.99619140625
588 1.514118646904735e-06 	 1.0 	 0.022980226358935596 	 0.9962890625
589 1.4770741916810152e-06 	 1.0 	 0.023091212490617963 	 0.99619140625
590 1.9274244041641613e-06 	 1.0 	 0.02354240677702748 	 0.99619140625
591 1.7834275221630401e-06 	 1.0 	 0.023106620387819278 	 0.9962890625
592 1.53232987008836e-06 	 1.0 	 0.023167708881366524 	 0.99619140625
593 1.6518224162105082e-06 	 1.0 	 0.022976147468886054 	 0.9962890625
594 1.6604644324679914e-06 	 1.0 	 0.023117195706024062 	 0.9958984375
595 1.6537553372710017e-06 	 1.0 	 0.023409942601683296 	 0.99609375
596 1.6672995386938163e-06 	 1.0 	 0.023208103664676117 	 0.99609375
597 1.6741945057281932e-06 	 1.0 	 0.023088893627152628 	 0.99609375
598 1.7480790836747279e-06 	 1.0 	 0.023044870983795818 	 0.99609375
599 1.4203231697259065e-06 	 1.0 	 0.02360972171986333 	 0.99609375
600 1.566974277828792e-06 	 1.0 	 0.022836031484919063 	 0.99609375
601 1.516151985789895e-06 	 1.0 	 0.02341673967045743 	 0.99609375
602 1.5482529943953762e-06 	 1.0 	 0.02353103263894738 	 0.99619140625
603 1.5784052141217958e-06 	 1.0 	 0.02289063021442601 	 0.9962890625
604 1.508888413099148e-06 	 1.0 	 0.023139766646021798 	 0.99619140625
605 1.3296383279791772e-06 	 1.0 	 0.023119162662800362 	 0.99619140625
606 1.4701331157657873e-06 	 1.0 	 0.02338677035594756 	 0.99609375
607 1.3363731879282493e-06 	 1.0 	 0.022939275654786685 	 0.9962890625
608 1.5087227849332341e-06 	 1.0 	 0.023583292010714983 	 0.99609375
609 1.6039407011402362e-06 	 1.0 	 0.023513132859891782 	 0.99619140625
610 1.4473282734841008e-06 	 1.0 	 0.02334996491400574 	 0.9962890625
611 1.769906623888781e-06 	 1.0 	 0.023273152941948892 	 0.99619140625
612 2.2107352405339177e-06 	 1.0 	 0.023753821534812047 	 0.99599609375
613 1.5791112652824986e-06 	 1.0 	 0.023317776417469814 	 0.99609375
614 1.590085497379018e-06 	 1.0 	 0.022673673341482115 	 0.9962890625
615 1.5583468281335307e-06 	 1.0 	 0.02285311187153951 	 0.99609375
616 1.2916971041830137e-06 	 1.0 	 0.02371236820467786 	 0.99599609375
617 1.7558424975205848e-06 	 1.0 	 0.02287131163954683 	 0.9962890625
618 1.429128833170694e-06 	 1.0 	 0.023808492734577767 	 0.99599609375
619 1.5682649168492857e-06 	 1.0 	 0.022903340840112564 	 0.99619140625
620 1.6309164635904171e-06 	 1.0 	 0.0232588009208456 	 0.99619140625
621 1.4979668790315756e-06 	 1.0 	 0.022719919307796134 	 0.99619140625
622 1.467225539273058e-06 	 1.0 	 0.022745689684816738 	 0.99609375
623 1.5848794337658485e-06 	 1.0 	 0.0233044191897271 	 0.99599609375
624 1.606723448104041e-06 	 1.0 	 0.022764579298548783 	 0.99619140625
625 2.0717380619269144e-06 	 1.0 	 0.02306050660215746 	 0.99619140625
626 1.542188936763095e-06 	 1.0 	 0.023015670423951917 	 0.9962890625
627 1.631337678194392e-06 	 1.0 	 0.02290291770066233 	 0.99609375
628 1.6000794343329493e-06 	 1.0 	 0.02331616641167642 	 0.9962890625
629 2.1045231714106426e-06 	 1.0 	 0.023670825620339286 	 0.99619140625
630 1.3683635048062784e-06 	 1.0 	 0.02330010516709713 	 0.99619140625
631 1.4005355806241187e-06 	 1.0 	 0.02331585355955603 	 0.99609375
632 1.4760604755520732e-06 	 1.0 	 0.02326613202363852 	 0.99619140625
633 1.4874827338467173e-06 	 1.0 	 0.02361332989570499 	 0.99609375
634 2.9034970577548246e-06 	 1.0 	 0.02416068541504899 	 0.99609375
635 1.5995896078324748e-06 	 1.0 	 0.02406932618205033 	 0.99599609375
636 1.362156672970057e-06 	 1.0 	 0.02391095463253521 	 0.99609375
637 1.56451300507683e-06 	 1.0 	 0.024018519956684515 	 0.99609375
638 1.5309013070904271e-06 	 1.0 	 0.023720936797761282 	 0.99599609375
639 1.4865403971327997e-06 	 1.0 	 0.02359375268004449 	 0.99619140625
640 1.6065420761646926e-06 	 1.0 	 0.02419360789775311 	 0.99619140625
641 1.599403225022181e-06 	 1.0 	 0.02274961742603985 	 0.99599609375
642 1.506585227855601e-06 	 1.0 	 0.022820938887410235 	 0.99609375
643 1.53274032725704e-06 	 1.0 	 0.02331683610651396 	 0.99619140625
644 1.527741369732898e-06 	 1.0 	 0.022768127383992365 	 0.99609375
645 1.5070243158985933e-06 	 1.0 	 0.023759190897284555 	 0.99609375
646 1.3140401679754253e-06 	 1.0 	 0.023443772238790926 	 0.99609375
647 1.3774885847238771e-06 	 1.0 	 0.02330964655560308 	 0.99619140625
648 1.3094767782729347e-06 	 1.0 	 0.0237829408225231 	 0.99619140625
649 1.5461201811990751e-06 	 1.0 	 0.023257654539319005 	 0.99619140625
650 2.8176899857256444e-06 	 1.0 	 0.024121526451779472 	 0.99599609375
651 1.70453277363744e-06 	 1.0 	 0.02346805193663428 	 0.99619140625
652 1.3885274844959874e-06 	 1.0 	 0.02374906520679474 	 0.99609375
653 1.485342445050283e-06 	 1.0 	 0.02358177825629184 	 0.99619140625
654 1.5066603904836408e-06 	 1.0 	 0.02354491232440594 	 0.99619140625
655 1.8903973396465372e-06 	 1.0 	 0.023407236260043263 	 0.99619140625
656 1.392729411804503e-06 	 1.0 	 0.023882061638911267 	 0.9962890625
657 1.3535835024521408e-06 	 1.0 	 0.02407335857033104 	 0.9958984375
658 1.7823422911616427e-06 	 1.0 	 0.023818662005236035 	 0.99609375
659 1.5555267148357715e-06 	 1.0 	 0.02495592700243563 	 0.99619140625
660 1.3516231793746463e-06 	 1.0 	 0.02336759200773031 	 0.99619140625
661 1.4530121312198092e-06 	 1.0 	 0.023702021981540967 	 0.99609375
662 1.5791751596113715e-06 	 1.0 	 0.024476694308803105 	 0.99599609375
663 1.6761464345882835e-06 	 1.0 	 0.024307344257939435 	 0.99638671875
664 1.4216641498087786e-06 	 1.0 	 0.024072887872432246 	 0.99609375
665 1.3758439136601453e-06 	 1.0 	 0.023695134667310214 	 0.9962890625
666 1.5978957749528914e-06 	 1.0 	 0.02341772558197519 	 0.99619140625
667 1.5276108984219619e-06 	 1.0 	 0.02393692263491829 	 0.9962890625
668 1.3707434003162679e-06 	 1.0 	 0.02380167871231862 	 0.99619140625
669 1.5569265068134694e-06 	 1.0 	 0.02347224892234543 	 0.99609375
670 1.3268674875672748e-06 	 1.0 	 0.02367755313904283 	 0.99619140625
671 1.6810909440766894e-06 	 1.0 	 0.023319650840615935 	 0.99638671875
672 1.344754113458405e-06 	 1.0 	 0.024142764214516887 	 0.9962890625
673 1.3903732038993893e-06 	 1.0 	 0.023434493436147362 	 0.9962890625
674 1.2945088066537506e-06 	 1.0 	 0.023089814997130986 	 0.9962890625
